"time", "pool", "value"
1765.00000000,0.00000000,48035.28395062
1765.00000000,1.00000000,67179.72839506
1765.00000000,2.00000000,34568.39506173
1765.00000000,-1.00000000,57389.84659837
1766.00000000,0.00000000,48035.16579353
1766.00000000,1.00000000,67179.72674588
1766.00000000,2.00000000,34568.39234161
1766.00000000,-1.00000000,57389.80999165
1767.00000000,0.00000000,48035.19266583
1767.00000000,1.00000000,67179.72272409
1767.00000000,2.00000000,34568.40029830
1767.00000000,-1.00000000,57389.77348443
1768.00000000,0.00000000,48035.32769071
1768.00000000,1.00000000,67179.71779706
1768.00000000,2.00000000,34568.43714134
1768.00000000,-1.00000000,57389.73700929
1769.00000000,0.00000000,48035.54297414
1769.00000000,1.00000000,67179.71276633
1769.00000000,2.00000000,34568.51544171
1769.00000000,-1.00000000,57389.70035004
1770.00000000,0.00000000,48035.81610686
1770.00000000,1.00000000,67179.70798084
1770.00000000,2.00000000,34568.64357380
1770.00000000,-1.00000000,57389.66289562
1771.00000000,0.00000000,48036.10269134
1771.00000000,1.00000000,67179.70318720
1771.00000000,2.00000000,34568.82590880
1771.00000000,-1.00000000,57389.61858657
1772.00000000,0.00000000,48036.39862892
1772.00000000,1.00000000,67179.69739520
1772.00000000,2.00000000,34569.06338695
1772.00000000,-1.00000000,57389.56707463
1773.00000000,0.00000000,48036.72758578
1773.00000000,1.00000000,67179.69022150
1773.00000000,2.00000000,34569.35789240
1773.00000000,-1.00000000,57389.51374454
1774.00000000,0.00000000,48037.08107106
1774.00000000,1.00000000,67179.68139022
1774.00000000,2.00000000,34569.71079582
1774.00000000,-1.00000000,57389.45820460
1775.00000000,0.00000000,48037.45269446
1775.00000000,1.00000000,67179.67050759
1775.00000000,2.00000000,34570.12237987
1775.00000000,-1.00000000,57389.39997316
1776.00000000,0.00000000,48037.83773882
1776.00000000,1.00000000,67179.65708425
1776.00000000,2.00000000,34570.59213469
1776.00000000,-1.00000000,57389.33855522
1777.00000000,0.00000000,48038.23244061
1777.00000000,1.00000000,67179.64059516
1777.00000000,2.00000000,34571.11893171
1777.00000000,-1.00000000,57389.27344024
1778.00000000,0.00000000,48038.63422476
1778.00000000,1.00000000,67179.62051546
1778.00000000,2.00000000,34571.70140771
1778.00000000,-1.00000000,57389.20416356
1779.00000000,0.00000000,48039.04086120
1779.00000000,1.00000000,67179.59627402
1779.00000000,2.00000000,34572.33792669
1779.00000000,-1.00000000,57389.13019877
1780.00000000,0.00000000,48039.44886861
1780.00000000,1.00000000,67179.56726447
1780.00000000,2.00000000,34573.02657483
1780.00000000,-1.00000000,57389.05066993
1781.00000000,0.00000000,48039.82953052
1781.00000000,1.00000000,67179.53269841
1781.00000000,2.00000000,34573.76454750
1781.00000000,-1.00000000,57388.95994430
1782.00000000,0.00000000,48040.18672886
1782.00000000,1.00000000,67179.49119304
1782.00000000,2.00000000,34574.54751964
1782.00000000,-1.00000000,57388.85711344
1783.00000000,0.00000000,48040.55311279
1783.00000000,1.00000000,67179.44223589
1783.00000000,2.00000000,34575.37393232
1783.00000000,-1.00000000,57388.74793504
1784.00000000,0.00000000,48040.92513602
1784.00000000,1.00000000,67179.38548755
1784.00000000,2.00000000,34576.24278214
1784.00000000,-1.00000000,57388.63197297
1785.00000000,0.00000000,48041.30066145
1785.00000000,1.00000000,67179.32055032
1785.00000000,2.00000000,34577.15277527
1785.00000000,-1.00000000,57388.50883170
1786.00000000,0.00000000,48041.67792654
1786.00000000,1.00000000,67179.24704667
1786.00000000,2.00000000,34578.10244046
1786.00000000,-1.00000000,57388.37812441
1787.00000000,0.00000000,48042.05531719
1787.00000000,1.00000000,67179.16463182
1787.00000000,2.00000000,34579.09020617
1787.00000000,-1.00000000,57388.23947050
1788.00000000,0.00000000,48042.43222618
1788.00000000,1.00000000,67179.07282513
1788.00000000,2.00000000,34580.11443824
1788.00000000,-1.00000000,57388.09250064
1789.00000000,0.00000000,48042.80745090
1789.00000000,1.00000000,67178.97128318
1789.00000000,2.00000000,34581.17347538
1789.00000000,-1.00000000,57387.93685575
1790.00000000,0.00000000,48043.18008023
1790.00000000,1.00000000,67178.85962614
1790.00000000,2.00000000,34582.26562962
1790.00000000,-1.00000000,57387.77216219
1791.00000000,0.00000000,48043.51836674
1791.00000000,1.00000000,67178.73728872
1791.00000000,2.00000000,34583.38845198
1791.00000000,-1.00000000,57387.59213503
1792.00000000,0.00000000,48043.82806834
1792.00000000,1.00000000,67178.60302245
1792.00000000,2.00000000,34584.53801172
1792.00000000,-1.00000000,57387.39624170
1793.00000000,0.00000000,48044.14289123
1793.00000000,1.00000000,67178.45646695
1793.00000000,2.00000000,34585.71308615
1793.00000000,-1.00000000,57387.19043831
1794.00000000,0.00000000,48044.45984639
1794.00000000,1.00000000,67178.29745250
1794.00000000,2.00000000,34586.91317520
1794.00000000,-1.00000000,57386.97443426
1795.00000000,0.00000000,48044.77678271
1795.00000000,1.00000000,67178.12580327
1795.00000000,2.00000000,34588.13748077
1795.00000000,-1.00000000,57386.74795215
1796.00000000,0.00000000,48045.09183687
1796.00000000,1.00000000,67177.94131106
1796.00000000,2.00000000,34589.38503024
1796.00000000,-1.00000000,57386.51065702
1797.00000000,0.00000000,48045.37235356
1797.00000000,1.00000000,67177.74358277
1797.00000000,2.00000000,34590.65401441
1797.00000000,-1.00000000,57386.25630057
1798.00000000,0.00000000,48045.62464504
1798.00000000,1.00000000,67177.53144366
1798.00000000,2.00000000,34591.94085416
1798.00000000,-1.00000000,57385.98450589
1799.00000000,0.00000000,48045.88003696
1799.00000000,1.00000000,67177.30465273
1799.00000000,2.00000000,34593.24479071
1799.00000000,-1.00000000,57385.70093441
1800.00000000,0.00000000,48046.10736584
1800.00000000,1.00000000,67177.06300756
1800.00000000,2.00000000,34594.56500321
1800.00000000,-1.00000000,57385.39998500
1801.00000000,0.00000000,48046.30831955
1801.00000000,1.00000000,67176.80554951
1801.00000000,2.00000000,34595.89872265
1801.00000000,-1.00000000,57385.08083055
1802.00000000,0.00000000,48046.45441974
1802.00000000,1.00000000,67176.53169092
1802.00000000,2.00000000,34597.24407830
1802.00000000,-1.00000000,57384.73774818
1803.00000000,0.00000000,48046.58587578
1803.00000000,1.00000000,67176.23996671
1803.00000000,2.00000000,34598.59740078
1803.00000000,-1.00000000,57384.37619193
1804.00000000,0.00000000,48046.76063971
1804.00000000,1.00000000,67175.93126599
1804.00000000,2.00000000,34599.96184046
1804.00000000,-1.00000000,57384.00850964
1805.00000000,0.00000000,48046.93706330
1805.00000000,1.00000000,67175.60588095
1805.00000000,2.00000000,34601.33856507
1805.00000000,-1.00000000,57383.62813371
1806.00000000,0.00000000,48047.08350128
1806.00000000,1.00000000,67175.26365287
1806.00000000,2.00000000,34602.72663508
1806.00000000,-1.00000000,57383.22922894
1807.00000000,0.00000000,48047.20288122
1807.00000000,1.00000000,67174.90369069
1807.00000000,2.00000000,34604.12331799
1807.00000000,-1.00000000,57382.81113354
1808.00000000,0.00000000,48047.32882631
1808.00000000,1.00000000,67174.52589011
1808.00000000,2.00000000,34605.52821165
1808.00000000,-1.00000000,57382.37999455
1809.00000000,0.00000000,48047.45695905
1809.00000000,1.00000000,67174.13045115
1809.00000000,2.00000000,34606.94183671
1809.00000000,-1.00000000,57381.93564531
1810.00000000,0.00000000,48047.58490822
1810.00000000,1.00000000,67173.71742132
1810.00000000,2.00000000,34608.36408527
1810.00000000,-1.00000000,57381.47789122
1811.00000000,0.00000000,48047.67939712
1811.00000000,1.00000000,67173.28661131
1811.00000000,2.00000000,34609.79384789
1811.00000000,-1.00000000,57381.00053147
1812.00000000,0.00000000,48047.74620254
1812.00000000,1.00000000,67172.83719218
1812.00000000,2.00000000,34611.22840512
1812.00000000,-1.00000000,57380.50343853
1813.00000000,0.00000000,48047.81726463
1813.00000000,1.00000000,67172.36913481
1813.00000000,2.00000000,34612.66751706
1813.00000000,-1.00000000,57379.99252017
1814.00000000,0.00000000,48047.88843010
1814.00000000,1.00000000,67171.88259607
1814.00000000,2.00000000,34614.11150636
1814.00000000,-1.00000000,57379.46750066
1815.00000000,0.00000000,48047.92750352
1815.00000000,1.00000000,67171.37743609
1815.00000000,2.00000000,34615.55959822
1815.00000000,-1.00000000,57378.92246180
1816.00000000,0.00000000,48047.90772212
1816.00000000,1.00000000,67170.85262487
1816.00000000,2.00000000,34617.00844535
1816.00000000,-1.00000000,57378.35106174
1817.00000000,0.00000000,48047.83713868
1817.00000000,1.00000000,67170.30716385
1817.00000000,2.00000000,34618.45505489
1817.00000000,-1.00000000,57377.75335297
1818.00000000,0.00000000,48047.75154130
1818.00000000,1.00000000,67169.74038419
1818.00000000,2.00000000,34619.89805516
1818.00000000,-1.00000000,57377.13512997
1819.00000000,0.00000000,48047.68004295
1819.00000000,1.00000000,67169.15256527
1819.00000000,2.00000000,34621.33897209
1819.00000000,-1.00000000,57376.50253767
1820.00000000,0.00000000,48047.61691784
1820.00000000,1.00000000,67168.54411361
1820.00000000,2.00000000,34622.77941183
1820.00000000,-1.00000000,57375.85551498
1821.00000000,0.00000000,48047.55768299
1821.00000000,1.00000000,67167.91532472
1821.00000000,2.00000000,34624.22033386
1821.00000000,-1.00000000,57375.19388564
1822.00000000,0.00000000,48047.46834775
1822.00000000,1.00000000,67167.26622200
1822.00000000,2.00000000,34625.66143929
1822.00000000,-1.00000000,57374.51159914
1823.00000000,0.00000000,48047.32191310
1823.00000000,1.00000000,67166.59589041
1823.00000000,2.00000000,34627.09976704
1823.00000000,-1.00000000,57373.80239493
1824.00000000,0.00000000,48047.15723789
1824.00000000,1.00000000,67165.90363525
1824.00000000,2.00000000,34628.53327578
1824.00000000,-1.00000000,57373.07232299
1825.00000000,0.00000000,48046.97273375
1825.00000000,1.00000000,67165.18949653
1825.00000000,2.00000000,34629.96231953
1825.00000000,-1.00000000,57372.32143233
1826.00000000,0.00000000,48046.76956055
1826.00000000,1.00000000,67164.45303727
1826.00000000,2.00000000,34631.38598507
1826.00000000,-1.00000000,57371.54951692
1827.00000000,0.00000000,48046.54586993
1827.00000000,1.00000000,67163.69431468
1827.00000000,2.00000000,34632.80457840
1827.00000000,-1.00000000,57370.75651452
1828.00000000,0.00000000,48046.30504969
1828.00000000,1.00000000,67162.91291006
1828.00000000,2.00000000,34634.21721241
1828.00000000,-1.00000000,57369.94261849
1829.00000000,0.00000000,48046.07379390
1829.00000000,1.00000000,67162.10913960
1829.00000000,2.00000000,34635.62504983
