"time", "value"
1765.00000000,104.44444444
1766.00000000,104.44443497
1767.00000000,104.44445096
1768.00000000,104.44454238
1769.00000000,104.44474358
1770.00000000,104.44507734
1771.00000000,104.44555523
1772.00000000,104.44617916
1773.00000000,104.44695441
1774.00000000,104.44788500
1775.00000000,104.44897191
1776.00000000,104.45021391
1777.00000000,104.45160804
1778.00000000,104.45315070
1779.00000000,104.45483755
1780.00000000,104.45666344
1781.00000000,104.45862071
1782.00000000,104.46069708
1783.00000000,104.46288869
1784.00000000,104.46519330
1785.00000000,104.46760774
1786.00000000,104.47012830
1787.00000000,104.47275092
1788.00000000,104.47547135
1789.00000000,104.47828525
1790.00000000,104.48118818
1791.00000000,104.48417341
1792.00000000,104.48722975
1793.00000000,104.49035427
1794.00000000,104.49354610
1795.00000000,104.49680345
1796.00000000,104.50012395
1797.00000000,104.50350268
1798.00000000,104.50692944
1799.00000000,104.51040262
1800.00000000,104.51392022
1801.00000000,104.51747451
1802.00000000,104.52106043
1803.00000000,104.52466757
1804.00000000,104.52830604
1805.00000000,104.53197977
1806.00000000,104.53568628
1807.00000000,104.53941775
1808.00000000,104.54317343
1809.00000000,104.54695532
1810.00000000,104.55076337
1811.00000000,104.55459459
1812.00000000,104.55844115
1813.00000000,104.56230276
1814.00000000,104.56618072
1815.00000000,104.57007301
1816.00000000,104.57396992
1817.00000000,104.57786288
1818.00000000,104.58174825
1819.00000000,104.58563109
1820.00000000,104.58951658
1821.00000000,104.59340784
1822.00000000,104.59730419
1823.00000000,104.60119696
1824.00000000,104.60508037
1825.00000000,104.60895583
1826.00000000,104.61282092
1827.00000000,104.61667685
1828.00000000,104.62052127
1829.00000000,104.62435793
1830.00000000,104.62817739
1831.00000000,104.63194070
1832.00000000,104.63566664
1833.00000000,104.63937107
1834.00000000,104.64305588
1835.00000000,104.64672672
1836.00000000,104.65037386
1837.00000000,104.65397472
1838.00000000,104.65753884
1839.00000000,104.66107245
1840.00000000,104.66457526
1841.00000000,104.66804280
1842.00000000,104.67147510
1843.00000000,104.67486950
1844.00000000,104.67822773
1845.00000000,104.68154100
1846.00000000,104.68479562
1847.00000000,104.68800478
1848.00000000,104.69116561
1849.00000000,104.69428246
1850.00000000,104.69734461
1851.00000000,104.70031925
1852.00000000,104.70323615
1853.00000000,104.70638906
1854.00000000,104.70969030
1855.00000000,104.71294460
1856.00000000,104.71607168
1857.00000000,104.71906692
1858.00000000,104.72196716
1859.00000000,104.72479473
1860.00000000,104.72752562
1861.00000000,104.73013025
1862.00000000,104.73253207
1863.00000000,104.73435819
1864.00000000,104.73559556
1865.00000000,104.73631594
1866.00000000,104.73659502
1867.00000000,104.73650933
1868.00000000,104.73607638
1869.00000000,104.73532376
1870.00000000,104.73427013
1871.00000000,104.73297491
1872.00000000,104.73168774
1873.00000000,104.73085469
1874.00000000,104.73047850
1875.00000000,104.73054941
1876.00000000,104.73091366
1877.00000000,104.73150596
1878.00000000,104.73229980
1879.00000000,104.73325775
1880.00000000,104.73422433
1881.00000000,104.73505666
1882.00000000,104.73579690
1883.00000000,104.73608526
1884.00000000,104.73588837
1885.00000000,104.73536783
1886.00000000,104.73465942
1887.00000000,104.73380561
1888.00000000,104.73268953
1889.00000000,104.73113743
1890.00000000,104.72920092
1891.00000000,104.72677352
1892.00000000,104.72390517
1893.00000000,104.72086731
1894.00000000,104.71785233
1895.00000000,104.71490253
1896.00000000,104.71189474
1897.00000000,104.70876377
1898.00000000,104.70541493
1899.00000000,104.70169589
1900.00000000,104.69739636
1901.00000000,104.69259013
1902.00000000,104.68769502
1903.00000000,104.68275054
1904.00000000,104.67767507
1905.00000000,104.67266571
1906.00000000,104.66767635
1907.00000000,104.66251153
1908.00000000,104.65689920
1909.00000000,104.65132371
1910.00000000,104.64573922
1911.00000000,104.63993352
1912.00000000,104.63354002
1913.00000000,104.62610213
1914.00000000,104.61754975
1915.00000000,104.60902718
1916.00000000,104.60079518
1917.00000000,104.59236094
1918.00000000,104.58352585
1919.00000000,104.57503147
1920.00000000,104.56783174
1921.00000000,104.56127532
1922.00000000,104.55628068
1923.00000000,104.55209810
1924.00000000,104.54754502
1925.00000000,104.54272770
1926.00000000,104.53780349
1927.00000000,104.53278945
1928.00000000,104.52746854
1929.00000000,104.52189311
1930.00000000,104.51619507
1931.00000000,104.51201111
