"time", "value"
1765.00000000,       nan
1766.00000000,79.97079007
1767.00000000,79.96776197
1768.00000000,79.96467435
1769.00000000,79.96153907
1770.00000000,79.95836580
1771.00000000,79.95514973
1772.00000000,79.95189472
1773.00000000,79.94861189
1774.00000000,79.94528482
1775.00000000,79.94190654
1776.00000000,79.93849694
1777.00000000,79.93504838
1778.00000000,79.93157631
1779.00000000,79.92804944
1780.00000000,79.92451953
1781.00000000,79.92094786
1782.00000000,79.91735840
1783.00000000,79.91374544
1784.00000000,79.91014285
1785.00000000,79.90650916
1786.00000000,79.90292147
1787.00000000,79.89932612
1788.00000000,79.89575249
1789.00000000,79.89219489
1790.00000000,79.88866066
1791.00000000,79.88515674
1792.00000000,79.88170075
1793.00000000,79.87823770
1794.00000000,79.87482654
1795.00000000,79.87140286
1796.00000000,79.86799647
1797.00000000,79.86457252
1798.00000000,79.86116320
1799.00000000,79.85772775
1800.00000000,79.85430693
1801.00000000,79.85086481
1802.00000000,79.84742065
1803.00000000,79.84396775
1804.00000000,79.84052666
1805.00000000,79.83708871
1806.00000000,79.83368128
1807.00000000,79.83026712
1808.00000000,79.82690638
1809.00000000,79.82354697
1810.00000000,79.82021369
1811.00000000,79.81692004
1812.00000000,79.81365807
1813.00000000,79.81043624
1814.00000000,79.80724948
1815.00000000,79.80410339
1816.00000000,79.80099294
1817.00000000,79.79794475
1818.00000000,79.79490738
1819.00000000,79.79194140
1820.00000000,79.78900797
1821.00000000,79.78611459
1822.00000000,79.78326199
1823.00000000,79.78046887
1824.00000000,79.77768618
1825.00000000,79.77496935
1826.00000000,79.77227144
1827.00000000,79.76960336
1828.00000000,79.76695789
1829.00000000,79.76433404
1830.00000000,79.76175124
1831.00000000,79.75918284
1832.00000000,79.75666715
1833.00000000,79.75418736
1834.00000000,79.75178215
1835.00000000,79.74940562
1836.00000000,79.74713967
1837.00000000,79.74494654
1838.00000000,79.74284092
1839.00000000,79.74081899
1840.00000000,79.73888374
1841.00000000,79.73702781
1842.00000000,79.73526193
1843.00000000,79.73353116
1844.00000000,79.73184872
1845.00000000,79.73022730
1846.00000000,79.72861562
1847.00000000,79.72706052
1848.00000000,79.72551528
1849.00000000,79.72397988
1850.00000000,79.72245142
1851.00000000,79.72091138
1852.00000000,79.71933896
1853.00000000,79.71777963
1854.00000000,79.71624923
1855.00000000,79.71474765
1856.00000000,79.71328863
1857.00000000,79.71184058
1858.00000000,79.71048811
1859.00000000,79.70920376
1860.00000000,79.70804918
1861.00000000,79.70708475
1862.00000000,79.70632350
1863.00000000,79.70567368
1864.00000000,79.70516025
1865.00000000,79.70475792
1866.00000000,79.70447101
1867.00000000,79.70429164
1868.00000000,79.70413175
1869.00000000,79.70399159
1870.00000000,79.70375528
1871.00000000,79.70337960
1872.00000000,79.70290464
1873.00000000,79.70246223
1874.00000000,79.70209442
1875.00000000,79.70176738
1876.00000000,79.70143390
1877.00000000,79.70110544
1878.00000000,79.70076170
1879.00000000,79.70033443
1880.00000000,79.69987265
1881.00000000,79.69948070
1882.00000000,79.69918799
1883.00000000,79.69902663
1884.00000000,79.69894969
1885.00000000,79.69898022
1886.00000000,79.69910891
1887.00000000,79.69931172
1888.00000000,79.69957564
1889.00000000,79.69999469
1890.00000000,79.70056259
1891.00000000,79.70133207
1892.00000000,79.70237862
1893.00000000,79.70364414
1894.00000000,79.70520811
1895.00000000,79.70701790
1896.00000000,79.70907330
1897.00000000,79.71137931
1898.00000000,79.71385705
1899.00000000,79.71649495
1900.00000000,79.71926913
1901.00000000,79.72225138
1902.00000000,79.72540550
1903.00000000,79.72865946
1904.00000000,79.73201335
1905.00000000,79.73542839
1906.00000000,79.73891868
1907.00000000,79.74261434
1908.00000000,79.74668546
1909.00000000,79.75111835
1910.00000000,79.75591657
1911.00000000,79.76120562
1912.00000000,79.76701172
1913.00000000,79.77344591
1914.00000000,79.78057748
1915.00000000,79.78814874
1916.00000000,79.79608001
1917.00000000,79.80446972
1918.00000000,79.81364021
1919.00000000,79.82340422
1920.00000000,79.83356943
1921.00000000,79.84409667
1922.00000000,79.85477014
1923.00000000,79.86562312
1924.00000000,79.87685117
1925.00000000,79.88857335
1926.00000000,79.90070607
1927.00000000,79.91337324
1928.00000000,79.92689369
1929.00000000,79.94153162
1930.00000000,79.95764903
1931.00000000,79.97529374
1932.00000000,79.94396141
1933.00000000,79.96322476
1934.00000000,79.98294432
1935.00000000,80.00322667
1936.00000000,80.02436901
1937.00000000,80.04657645
1938.00000000,80.07003341
1939.00000000,80.09460557
1940.00000000,80.12029562
1941.00000000,80.14742620
1942.00000000,80.17611887
1943.00000000,80.20642634
1944.00000000,80.23846708
1945.00000000,80.27189009
1946.00000000,80.30601508
1947.00000000,80.34066183
1948.00000000,80.37606435
1949.00000000,80.41212968
1950.00000000,80.44849922
1951.00000000,80.48544607
1952.00000000,80.52341635
1953.00000000,80.56239840
1954.00000000,80.60206748
1955.00000000,80.64234404
1956.00000000,80.68340611
1957.00000000,80.72556248
1958.00000000,80.76894284
1959.00000000,80.81347264
1960.00000000,80.85906838
1961.00000000,80.90566374
1962.00000000,80.95302383
1963.00000000,81.00102844
1964.00000000,81.04966150
1965.00000000,81.09901810
1966.00000000,81.14919848
1967.00000000,81.20021653
1968.00000000,81.25198193
1969.00000000,81.30458516
1970.00000000,81.35825470
1971.00000000,81.41333183
1972.00000000,81.46993487
1973.00000000,81.52830340
1974.00000000,81.58869233
1975.00000000,81.65095708
1976.00000000,81.71485610
1977.00000000,81.78082232
1978.00000000,81.84922271
1979.00000000,81.92039785
1980.00000000,81.99481468
1981.00000000,82.07229909
1982.00000000,82.15220146
1983.00000000,82.23411755
1984.00000000,82.31779128
1985.00000000,82.40321612
1986.00000000,82.49064434
1987.00000000,82.58015578
1988.00000000,82.67210846
1989.00000000,82.81684579
1990.00000000,82.91465491
1991.00000000,83.01578759
1992.00000000,83.12019730
1993.00000000,83.22748853
1994.00000000,83.33737812
1995.00000000,83.44984651
1996.00000000,83.56501279
1997.00000000,83.68308065
1998.00000000,83.80391904
1999.00000000,83.92718849
2000.00000000,84.05232784
2001.00000000,84.17900037
2002.00000000,84.30700655
2003.00000000,84.43605794
2004.00000000,84.56627958
2005.00000000,84.69820403
2006.00000000,84.83207240
2007.00000000,84.96788022
2008.00000000,85.10561441
2009.00000000,85.24512583
2010.00000000,85.38627736
2011.00000000,85.52898482
2012.00000000,85.67316505
2013.00000000,85.81893332
2014.00000000,85.96628175
2015.00000000,86.11520957
2016.00000000,86.26582442
2017.00000000,86.41815330
2018.00000000,86.57214901
2019.00000000,86.72799890
2020.00000000,86.88569534
2021.00000000,87.04529329
2022.00000000,87.20687708
2023.00000000,87.37037949
2024.00000000,87.53587212
2025.00000000,87.70331584
2026.00000000,87.87265565
2027.00000000,88.04394423
2028.00000000,88.21711999
2029.00000000,88.39203135
2030.00000000,88.56867656
2031.00000000,88.74691648
2032.00000000,88.92668153
2033.00000000,89.10806648
2034.00000000,89.29105543
2035.00000000,89.47554948
2036.00000000,89.66164902
2037.00000000,89.84923587
2038.00000000,90.03837151
2039.00000000,90.22895710
2040.00000000,90.42087034
2041.00000000,90.61415129
2042.00000000,90.80868420
2043.00000000,91.00441922
2044.00000000,91.20144721
2045.00000000,91.39969835
2046.00000000,91.59907121
2047.00000000,91.79965225
2048.00000000,92.00131020
2049.00000000,92.20413898
2050.00000000,92.40800812
2051.00000000,92.61284905
2052.00000000,92.81876789
2053.00000000,93.02561364
2054.00000000,93.23331841
