"time", "value"
1765.00000000,       nan
1766.00000000,79.97077939
1767.00000000,79.96814334
1768.00000000,79.96465931
1769.00000000,79.96190585
1770.00000000,79.95835477
1771.00000000,79.95551255
1772.00000000,79.95188380
1773.00000000,79.94897802
1774.00000000,79.94527314
1775.00000000,79.94226484
1776.00000000,79.93848609
1777.00000000,79.93540712
1778.00000000,79.93155122
1779.00000000,79.92840988
1780.00000000,79.92453543
1781.00000000,79.92130914
1782.00000000,79.91740408
1783.00000000,79.91410734
1784.00000000,79.91016510
1785.00000000,79.90685943
1786.00000000,79.90296211
1787.00000000,79.89967883
1788.00000000,79.89580877
1789.00000000,79.89256151
1790.00000000,79.88874289
1791.00000000,79.88555059
1792.00000000,79.88175981
1793.00000000,79.87863063
1794.00000000,79.87493220
1795.00000000,79.87179488
1796.00000000,79.86816337
1797.00000000,79.86494240
1798.00000000,79.86130537
1799.00000000,79.85808454
1800.00000000,79.85467606
1801.00000000,79.85123333
1802.00000000,79.84780219
1803.00000000,79.84433672
1804.00000000,79.84090892
1805.00000000,79.83745714
1806.00000000,79.83406549
1807.00000000,79.83025494
1808.00000000,79.82728010
1809.00000000,79.82352035
1810.00000000,79.82058873
1811.00000000,79.81692435
1812.00000000,79.81403395
1813.00000000,79.81046686
1814.00000000,79.80761131
1815.00000000,79.80416251
1816.00000000,79.80135850
1817.00000000,79.79799562
1818.00000000,79.79528478
1819.00000000,79.79203361
1820.00000000,79.78941472
1821.00000000,79.78648529
1822.00000000,79.78366704
1823.00000000,79.78084854
1824.00000000,79.77806588
1825.00000000,79.77534954
1826.00000000,79.77263843
1827.00000000,79.77001187
1828.00000000,79.76694548
1829.00000000,79.76472542
1830.00000000,79.76174365
1831.00000000,79.75957121
1832.00000000,79.75669667
1833.00000000,79.75456894
1834.00000000,79.75183343
1835.00000000,79.74978870
1836.00000000,79.74729775
1837.00000000,79.74534015
1838.00000000,79.74324298
1839.00000000,79.74118782
1840.00000000,79.73926788
1841.00000000,79.73703667
1842.00000000,79.73564471
1843.00000000,79.73354389
1844.00000000,79.73221568
1845.00000000,79.73026234
1846.00000000,79.72899498
1847.00000000,79.72712616
1848.00000000,79.72592171
1849.00000000,79.72413866
1850.00000000,79.72269330
1851.00000000,79.72114176
1852.00000000,79.71957456
1853.00000000,79.71800182
1854.00000000,79.71624095
1855.00000000,79.71494851
1856.00000000,79.71333168
1857.00000000,79.71202976
1858.00000000,79.71058453
1859.00000000,79.70937331
1860.00000000,79.70821282
1861.00000000,79.70722949
1862.00000000,79.70646854
1863.00000000,79.70566234
1864.00000000,79.70528898
1865.00000000,79.70477616
1866.00000000,79.70455131
1867.00000000,79.70438294
1868.00000000,79.70421409
1869.00000000,79.70407808
1870.00000000,79.70384492
1871.00000000,79.70340046
1872.00000000,79.70290248
1873.00000000,79.70252807
1874.00000000,79.70209342
1875.00000000,79.70183313
1876.00000000,79.70148768
1877.00000000,79.70116412
1878.00000000,79.70081350
1879.00000000,79.70038720
1880.00000000,79.69993353
1881.00000000,79.69948045
1882.00000000,79.69923022
1883.00000000,79.69904750
1884.00000000,79.69899056
1885.00000000,79.69902164
1886.00000000,79.69914664
1887.00000000,79.69935136
1888.00000000,79.69957272
1889.00000000,79.70002265
1890.00000000,79.70057431
1891.00000000,79.70134969
1892.00000000,79.70240225
1893.00000000,79.70367322
1894.00000000,79.70522532
1895.00000000,79.70701258
1896.00000000,79.70908588
1897.00000000,79.71139802
1898.00000000,79.71387384
1899.00000000,79.71650993
1900.00000000,79.71926821
1901.00000000,79.72226438
1902.00000000,79.72541111
1903.00000000,79.72866575
1904.00000000,79.73202043
1905.00000000,79.73543460
1906.00000000,79.73892387
1907.00000000,79.74261435
1908.00000000,79.74669038
1909.00000000,79.75112221
1910.00000000,79.75592000
1911.00000000,79.76120778
1912.00000000,79.76701156
1913.00000000,79.77344678
1914.00000000,79.78057996
1915.00000000,79.78815152
1916.00000000,79.79608161
1917.00000000,79.80446967
1918.00000000,79.81364128
1919.00000000,79.82340782
1920.00000000,79.83357047
1921.00000000,79.84410047
1922.00000000,79.85477001
1923.00000000,79.86562357
1924.00000000,79.87685170
1925.00000000,79.88857383
1926.00000000,79.90070637
1927.00000000,79.91337329
1928.00000000,79.92689270
1929.00000000,79.94152929
1930.00000000,79.95764808
1931.00000000,79.97529467
1932.00000000,79.94396414
1933.00000000,79.96322659
1934.00000000,79.98294471
1935.00000000,80.00322668
1936.00000000,80.02436746
1937.00000000,80.04657403
1938.00000000,80.07003366
1939.00000000,80.09460334
1940.00000000,80.12029228
1941.00000000,80.14742259
1942.00000000,80.17611491
1943.00000000,80.20642115
1944.00000000,80.23846210
1945.00000000,80.27188794
1946.00000000,80.30601194
1947.00000000,80.34066213
1948.00000000,80.37605919
1949.00000000,80.41212491
1950.00000000,80.44849955
1951.00000000,80.48543916
1952.00000000,80.52340960
1953.00000000,80.56239171
1954.00000000,80.60205969
1955.00000000,80.64233580
1956.00000000,80.68339898
1957.00000000,80.72555418
1958.00000000,80.76893330
1959.00000000,80.81346452
1960.00000000,80.85906920
1961.00000000,80.90565563
1962.00000000,80.95301543
1963.00000000,81.00101950
1964.00000000,81.04965300
1965.00000000,81.09900880
1966.00000000,81.14918721
1967.00000000,81.20020610
1968.00000000,81.25197175
1969.00000000,81.30457428
1970.00000000,81.35824302
1971.00000000,81.41332582
1972.00000000,81.46992298
1973.00000000,81.52829081
1974.00000000,81.58867855
1975.00000000,81.65094495
1976.00000000,81.71484229
1977.00000000,81.78080824
1978.00000000,81.84920981
1979.00000000,81.92038295
1980.00000000,81.99479944
1981.00000000,82.07228539
1982.00000000,82.15218825
