"time", "pool", "value"
1765.00000000,0.00000000,141.44444444
1765.00000000,1.00000000,191.44444444
1765.00000000,2.00000000,104.44444444
1765.00000000,-1.00000000,165.48699764
1766.00000000,0.00000000,141.44407610
1766.00000000,1.00000000,191.44443952
1766.00000000,2.00000000,104.44443497
1766.00000000,-1.00000000,165.48689240
1767.00000000,0.00000000,141.44410022
1767.00000000,1.00000000,191.44442742
1767.00000000,2.00000000,104.44445096
1767.00000000,-1.00000000,165.48678810
1768.00000000,0.00000000,141.44441606
1768.00000000,1.00000000,191.44441225
1768.00000000,2.00000000,104.44454238
1768.00000000,-1.00000000,165.48668457
1769.00000000,0.00000000,141.44494782
1769.00000000,1.00000000,191.44439628
1769.00000000,2.00000000,104.44474358
1769.00000000,-1.00000000,165.48658125
1770.00000000,0.00000000,141.44563426
1770.00000000,1.00000000,191.44438052
1770.00000000,2.00000000,104.44507733
1770.00000000,-1.00000000,165.48647640
1771.00000000,0.00000000,141.44634916
1771.00000000,1.00000000,191.44436429
1771.00000000,2.00000000,104.44555518
1771.00000000,-1.00000000,165.48635272
1772.00000000,0.00000000,141.44708389
1772.00000000,1.00000000,191.44434483
1772.00000000,2.00000000,104.44617898
1772.00000000,-1.00000000,165.48620931
1773.00000000,0.00000000,141.44791189
1773.00000000,1.00000000,191.44432137
1773.00000000,2.00000000,104.44695407
1773.00000000,-1.00000000,165.48606223
1774.00000000,0.00000000,141.44880833
1774.00000000,1.00000000,191.44429321
1774.00000000,2.00000000,104.44788473
1774.00000000,-1.00000000,165.48591025
1775.00000000,0.00000000,141.44975528
1775.00000000,1.00000000,191.44425953
1775.00000000,2.00000000,104.44897180
1775.00000000,-1.00000000,165.48575210
1776.00000000,0.00000000,141.45074001
1776.00000000,1.00000000,191.44421914
1776.00000000,2.00000000,104.45021404
1776.00000000,-1.00000000,165.48558650
1777.00000000,0.00000000,141.45175376
1777.00000000,1.00000000,191.44417062
1777.00000000,2.00000000,104.45160859
1777.00000000,-1.00000000,165.48541216
1778.00000000,0.00000000,141.45278858
1778.00000000,1.00000000,191.44411272
1778.00000000,2.00000000,104.45315166
1778.00000000,-1.00000000,165.48522783
1779.00000000,0.00000000,141.45383865
1779.00000000,1.00000000,191.44404410
1779.00000000,2.00000000,104.45483875
1779.00000000,-1.00000000,165.48503228
1780.00000000,0.00000000,141.45489986
1780.00000000,1.00000000,191.44396331
1780.00000000,2.00000000,104.45666489
1780.00000000,-1.00000000,165.48482431
1781.00000000,0.00000000,141.45587555
1781.00000000,1.00000000,191.44386847
1781.00000000,2.00000000,104.45862258
1781.00000000,-1.00000000,165.48458542
1782.00000000,0.00000000,141.45678357
1782.00000000,1.00000000,191.44375575
1782.00000000,2.00000000,104.46069950
1782.00000000,-1.00000000,165.48431431
1783.00000000,0.00000000,141.45772185
1783.00000000,1.00000000,191.44362376
1783.00000000,2.00000000,104.46289121
1783.00000000,-1.00000000,165.48402776
1784.00000000,0.00000000,141.45867991
1784.00000000,1.00000000,191.44347190
1784.00000000,2.00000000,104.46519590
1784.00000000,-1.00000000,165.48372485
1785.00000000,0.00000000,141.45965110
1785.00000000,1.00000000,191.44329938
1785.00000000,2.00000000,104.46761030
1785.00000000,-1.00000000,165.48340461
1786.00000000,0.00000000,141.46063011
1786.00000000,1.00000000,191.44310532
1786.00000000,2.00000000,104.47013048
1786.00000000,-1.00000000,165.48306602
1787.00000000,0.00000000,141.46161377
1787.00000000,1.00000000,191.44288894
1787.00000000,2.00000000,104.47275290
1787.00000000,-1.00000000,165.48270829
1788.00000000,0.00000000,141.46259837
1788.00000000,1.00000000,191.44264926
1788.00000000,2.00000000,104.47547278
1788.00000000,-1.00000000,165.48233038
1789.00000000,0.00000000,141.46358217
1789.00000000,1.00000000,191.44238564
1789.00000000,2.00000000,104.47828694
1789.00000000,-1.00000000,165.48193170
1790.00000000,0.00000000,141.46455506
1790.00000000,1.00000000,191.44209695
1790.00000000,2.00000000,104.48118963
1790.00000000,-1.00000000,165.48150981
1791.00000000,0.00000000,141.46543601
1791.00000000,1.00000000,191.44178174
1791.00000000,2.00000000,104.48417440
1791.00000000,-1.00000000,165.48104882
1792.00000000,0.00000000,141.46624078
1792.00000000,1.00000000,191.44143688
1792.00000000,2.00000000,104.48723025
1792.00000000,-1.00000000,165.48054742
1793.00000000,0.00000000,141.46706494
1793.00000000,1.00000000,191.44106165
1793.00000000,2.00000000,104.49035445
1793.00000000,-1.00000000,165.48002238
1794.00000000,0.00000000,141.46789926
1794.00000000,1.00000000,191.44065591
1794.00000000,2.00000000,104.49354591
1794.00000000,-1.00000000,165.47947302
1795.00000000,0.00000000,141.46873818
1795.00000000,1.00000000,191.44021934
1795.00000000,2.00000000,104.49680285
1795.00000000,-1.00000000,165.47889875
1796.00000000,0.00000000,141.46957708
1796.00000000,1.00000000,191.43975161
1796.00000000,2.00000000,104.50012314
1796.00000000,-1.00000000,165.47829891
1797.00000000,0.00000000,141.47031957
1797.00000000,1.00000000,191.43925168
1797.00000000,2.00000000,104.50350163
1797.00000000,-1.00000000,165.47765543
1798.00000000,0.00000000,141.47098538
1798.00000000,1.00000000,191.43871670
1798.00000000,2.00000000,104.50692855
1798.00000000,-1.00000000,165.47696797
1799.00000000,0.00000000,141.47166811
1799.00000000,1.00000000,191.43814623
1799.00000000,2.00000000,104.51040208
1799.00000000,-1.00000000,165.47625317
1800.00000000,0.00000000,141.47227030
1800.00000000,1.00000000,191.43753971
1800.00000000,2.00000000,104.51391975
1800.00000000,-1.00000000,165.47549385
1801.00000000,0.00000000,141.47280227
1801.00000000,1.00000000,191.43689479
1801.00000000,2.00000000,104.51747414
1801.00000000,-1.00000000,165.47468888
1802.00000000,0.00000000,141.47317671
1802.00000000,1.00000000,191.43621003
1802.00000000,2.00000000,104.52106018
1802.00000000,-1.00000000,165.47382133
1803.00000000,0.00000000,141.47352040
1803.00000000,1.00000000,191.43548145
1803.00000000,2.00000000,104.52466724
1803.00000000,-1.00000000,165.47290849
1804.00000000,0.00000000,141.47399713
1804.00000000,1.00000000,191.43471203
1804.00000000,2.00000000,104.52830576
1804.00000000,-1.00000000,165.47198523
1805.00000000,0.00000000,141.47448876
1805.00000000,1.00000000,191.43390285
1805.00000000,2.00000000,104.53197944
1805.00000000,-1.00000000,165.47103345
1806.00000000,0.00000000,141.47489440
1806.00000000,1.00000000,191.43305378
1806.00000000,2.00000000,104.53568597
1806.00000000,-1.00000000,165.47003527
1807.00000000,0.00000000,141.47523185
1807.00000000,1.00000000,191.43216236
1807.00000000,2.00000000,104.53941710
1807.00000000,-1.00000000,165.46899035
1808.00000000,0.00000000,141.47559467
