"time", "pool", "value"
1765.00000000,0.00000000,80.06850052
1765.00000000,1.00000000,138.65193940
1765.00000000,2.00000000,34.38804436
1765.00000000,-1.00000000,111.05400467
1766.00000000,0.00000000,80.06906586
1766.00000000,1.00000000,138.65150979
1766.00000000,2.00000000,34.38809292
1766.00000000,-1.00000000,111.05389372
1767.00000000,0.00000000,80.07045375
1767.00000000,1.00000000,138.65075677
1767.00000000,2.00000000,34.38832820
1767.00000000,-1.00000000,111.05374748
1768.00000000,0.00000000,80.07184164
1768.00000000,1.00000000,138.65000375
1768.00000000,2.00000000,34.38856349
1768.00000000,-1.00000000,111.05359048
1769.00000000,0.00000000,80.07322952
1769.00000000,1.00000000,138.64925073
1769.00000000,2.00000000,34.38879877
1769.00000000,-1.00000000,111.05343347
1770.00000000,0.00000000,80.07461741
1770.00000000,1.00000000,138.64849772
1770.00000000,2.00000000,34.38943918
1770.00000000,-1.00000000,111.05327646
1771.00000000,0.00000000,80.07600529
1771.00000000,1.00000000,138.64774470
1771.00000000,2.00000000,34.39010017
1771.00000000,-1.00000000,111.05311945
1772.00000000,0.00000000,80.07739318
1772.00000000,1.00000000,138.64699168
1772.00000000,2.00000000,34.39076116
1772.00000000,-1.00000000,111.05283793
1773.00000000,0.00000000,80.07878107
1773.00000000,1.00000000,138.64623866
1773.00000000,2.00000000,34.39329532
1773.00000000,-1.00000000,111.05267313
1774.00000000,0.00000000,80.08016895
1774.00000000,1.00000000,138.64548565
1774.00000000,2.00000000,34.39679316
1774.00000000,-1.00000000,111.05249971
1775.00000000,0.00000000,80.08155684
1775.00000000,1.00000000,138.64473263
1775.00000000,2.00000000,34.40029099
1775.00000000,-1.00000000,111.05231768
1776.00000000,0.00000000,80.08294472
1776.00000000,1.00000000,138.64397961
1776.00000000,2.00000000,34.40378883
1776.00000000,-1.00000000,111.05212704
1777.00000000,0.00000000,80.08433261
1777.00000000,1.00000000,138.64322660
1777.00000000,2.00000000,34.40728667
1777.00000000,-1.00000000,111.05192774
1778.00000000,0.00000000,80.08572050
1778.00000000,1.00000000,138.64247358
1778.00000000,2.00000000,34.41078450
1778.00000000,-1.00000000,111.05169759
1779.00000000,0.00000000,80.08710838
1779.00000000,1.00000000,138.64172056
1779.00000000,2.00000000,34.41428234
1779.00000000,-1.00000000,111.05141782
1780.00000000,0.00000000,80.08849627
1780.00000000,1.00000000,138.64096754
1780.00000000,2.00000000,34.41778018
1780.00000000,-1.00000000,111.05108844
1781.00000000,0.00000000,80.08972433
1781.00000000,1.00000000,138.64021453
1781.00000000,2.00000000,34.42127801
1781.00000000,-1.00000000,111.05070944
1782.00000000,0.00000000,80.09085090
1782.00000000,1.00000000,138.63946151
1782.00000000,2.00000000,34.42477585
1782.00000000,-1.00000000,111.05028083
1783.00000000,0.00000000,80.09197746
1783.00000000,1.00000000,138.63870849
1783.00000000,2.00000000,34.42827369
1783.00000000,-1.00000000,111.04980260
1784.00000000,0.00000000,80.09310402
