"time", "pool", "value"
1765.00000000,0.00000000,80.06850052
1765.00000000,1.00000000,138.65193940
1765.00000000,2.00000000,34.38804436
1765.00000000,-1.00000000,111.05400467
1766.00000000,0.00000000,80.06966846
1766.00000000,1.00000000,138.65125528
1766.00000000,2.00000000,34.38808917
1766.00000000,-1.00000000,111.05389378
1767.00000000,0.00000000,80.07211240
1767.00000000,1.00000000,138.65005630
1767.00000000,2.00000000,34.38831011
1767.00000000,-1.00000000,111.05375496
1768.00000000,0.00000000,80.07455634
1768.00000000,1.00000000,138.64885732
1768.00000000,2.00000000,34.38853104
1768.00000000,-1.00000000,111.05360759
1769.00000000,0.00000000,80.07700028
1769.00000000,1.00000000,138.64765834
1769.00000000,2.00000000,34.38875198
1769.00000000,-1.00000000,111.05346022
1770.00000000,0.00000000,80.07944423
1770.00000000,1.00000000,138.64645936
1770.00000000,2.00000000,34.38934028
1770.00000000,-1.00000000,111.05331285
1771.00000000,0.00000000,80.08188817
1771.00000000,1.00000000,138.64526038
1771.00000000,2.00000000,34.38994726
1771.00000000,-1.00000000,111.05316548
1772.00000000,0.00000000,80.08433211
1772.00000000,1.00000000,138.64406140
1772.00000000,2.00000000,34.39055424
1772.00000000,-1.00000000,111.05301264
1773.00000000,0.00000000,80.08677605
1773.00000000,1.00000000,138.64286242
1773.00000000,2.00000000,34.39229343
1773.00000000,-1.00000000,111.05285175
1774.00000000,0.00000000,80.08921999
1774.00000000,1.00000000,138.64166344
1774.00000000,2.00000000,34.39461510
1774.00000000,-1.00000000,111.05269087
1775.00000000,0.00000000,80.09166393
1775.00000000,1.00000000,138.64046446
1775.00000000,2.00000000,34.39693677
1775.00000000,-1.00000000,111.05252998
1776.00000000,0.00000000,80.09410787
1776.00000000,1.00000000,138.63926548
1776.00000000,2.00000000,34.39925843
1776.00000000,-1.00000000,111.05236910
1777.00000000,0.00000000,80.09655182
1777.00000000,1.00000000,138.63806650
1777.00000000,2.00000000,34.40158010
1777.00000000,-1.00000000,111.05213755
1778.00000000,0.00000000,80.09899576
1778.00000000,1.00000000,138.63686751
1778.00000000,2.00000000,34.40390177
1778.00000000,-1.00000000,111.05034887
1779.00000000,0.00000000,80.10143970
1779.00000000,1.00000000,138.63566853
1779.00000000,2.00000000,34.40622344
1779.00000000,-1.00000000,111.04856019
1780.00000000,0.00000000,80.10388364
1780.00000000,1.00000000,138.63446955
1780.00000000,2.00000000,34.40854511
1780.00000000,-1.00000000,111.04677151
1781.00000000,0.00000000,80.10660489
1781.00000000,1.00000000,138.63327057
1781.00000000,2.00000000,34.41086678
1781.00000000,-1.00000000,111.04498283
1782.00000000,0.00000000,80.10941128
1782.00000000,1.00000000,138.63207159
1782.00000000,2.00000000,34.41318845
1782.00000000,-1.00000000,111.04319415
1783.00000000,0.00000000,80.11221767
1783.00000000,1.00000000,138.63087261
1783.00000000,2.00000000,34.41551012
1783.00000000,-1.00000000,111.04140546
1784.00000000,0.00000000,80.11502405
