"time", "pool", "value"
1765.00000000,0.00000000,       nan
1765.00000000,1.00000000,       nan
1765.00000000,2.00000000,       nan
1765.00000000,-1.00000000,       nan
1766.00000000,0.00000000,0.47249424
1766.00000000,1.00000000,0.69873950
1766.00000000,2.00000000,0.69409919
1766.00000000,-1.00000000,0.49963751
1767.00000000,0.00000000,0.88927923
1767.00000000,1.00000000,1.35572819
1767.00000000,2.00000000,1.36143544
1767.00000000,-1.00000000,0.99309589
1768.00000000,0.00000000,1.24542946
1768.00000000,1.00000000,1.99087678
1768.00000000,2.00000000,2.00466745
1768.00000000,-1.00000000,1.48292686
1769.00000000,0.00000000,1.53722623
1769.00000000,1.00000000,2.62602536
1769.00000000,2.00000000,2.62252348
1769.00000000,-1.00000000,1.96832163
1770.00000000,0.00000000,1.76466953
1770.00000000,1.00000000,3.23936889
1770.00000000,2.00000000,3.20568769
1770.00000000,-1.00000000,2.44166745
1771.00000000,0.00000000,1.92775938
1771.00000000,1.00000000,3.81364613
1771.00000000,2.00000000,3.73369494
1771.00000000,-1.00000000,2.76109607
1772.00000000,0.00000000,2.02649576
1772.00000000,1.00000000,4.32350883
1772.00000000,2.00000000,4.20581667
1772.00000000,-1.00000000,3.06497864
1773.00000000,0.00000000,2.17748546
1773.00000000,1.00000000,4.87074108
1773.00000000,2.00000000,4.62918733
1773.00000000,-1.00000000,3.41003347
1774.00000000,0.00000000,2.44429890
1774.00000000,1.00000000,5.38957207
1774.00000000,2.00000000,5.01110453
1774.00000000,-1.00000000,3.86081541
1775.00000000,0.00000000,2.68940882
1775.00000000,1.00000000,5.91165749
1775.00000000,2.00000000,5.35303075
1775.00000000,-1.00000000,4.25189934
1776.00000000,0.00000000,2.91586224
1776.00000000,1.00000000,6.44562053
1776.00000000,2.00000000,5.70022250
1776.00000000,-1.00000000,4.70280072
1777.00000000,0.00000000,3.14662271
1777.00000000,1.00000000,6.99146119
1777.00000000,2.00000000,6.07409197
1777.00000000,-1.00000000,5.16553277
1778.00000000,0.00000000,3.36045429
1778.00000000,1.00000000,7.54809363
1778.00000000,2.00000000,6.47463916
