"time", "pool", "value"
1765.00000000,0.00000000,0.00000000
1765.00000000,1.00000000,0.00000000
1765.00000000,2.00000000,45.00000000
1765.00000000,-1.00000000,45.00000000
1766.00000000,0.00000000,0.00000000
1766.00000000,1.00000000,0.00000000
1766.00000000,2.00000000,45.00001378
1766.00000000,-1.00000000,45.00001378
1767.00000000,0.00000000,0.00000000
1767.00000000,1.00000000,0.00000000
1767.00000000,2.00000000,45.00006826
1767.00000000,-1.00000000,45.00006826
1768.00000000,0.00000000,0.00000000
1768.00000000,1.00000000,0.00000000
1768.00000000,2.00000000,45.00017774
1768.00000000,-1.00000000,45.00017774
1769.00000000,0.00000000,0.00000000
1769.00000000,1.00000000,0.00000000
1769.00000000,2.00000000,45.00035082
1769.00000000,-1.00000000,45.00035082
1770.00000000,0.00000000,0.00000000
1770.00000000,1.00000000,0.00000000
1770.00000000,2.00000000,45.00059185
1770.00000000,-1.00000000,45.00059185
1771.00000000,0.00000000,0.00000000
1771.00000000,1.00000000,0.00000000
1771.00000000,2.00000000,45.00090334
1771.00000000,-1.00000000,45.00090334
1772.00000000,0.00000000,0.00000000
1772.00000000,1.00000000,0.00000000
1772.00000000,2.00000000,45.00128817
1772.00000000,-1.00000000,45.00128817
1773.00000000,0.00000000,0.00000000
1773.00000000,1.00000000,0.00000000
1773.00000000,2.00000000,45.00174406
1773.00000000,-1.00000000,45.00174406
1774.00000000,0.00000000,0.00000000
1774.00000000,1.00000000,0.00000000
1774.00000000,2.00000000,45.00226723
1774.00000000,-1.00000000,45.00226723
1775.00000000,0.00000000,0.00000000
1775.00000000,1.00000000,0.00000000
1775.00000000,2.00000000,45.00285371
1775.00000000,-1.00000000,45.00285371
1776.00000000,0.00000000,0.00000000
1776.00000000,1.00000000,0.00000000
1776.00000000,2.00000000,45.00349943
1776.00000000,-1.00000000,45.00349943
1777.00000000,0.00000000,0.00000000
1777.00000000,1.00000000,0.00000000
1777.00000000,2.00000000,45.00420038
1777.00000000,-1.00000000,45.00420038
1778.00000000,0.00000000,0.00000000
1778.00000000,1.00000000,0.00000000
1778.00000000,2.00000000,45.00495271
1778.00000000,-1.00000000,45.00495271
1779.00000000,0.00000000,0.00000000
1779.00000000,1.00000000,0.00000000
1779.00000000,2.00000000,45.00575268
1779.00000000,-1.00000000,45.00575268
1780.00000000,0.00000000,0.00000000
1780.00000000,1.00000000,0.00000000
1780.00000000,2.00000000,45.00659666
1780.00000000,-1.00000000,45.00659666
1781.00000000,0.00000000,0.00000000
1781.00000000,1.00000000,0.00000000
1781.00000000,2.00000000,45.00748228
1781.00000000,-1.00000000,45.00748228
1782.00000000,0.00000000,0.00000000
1782.00000000,1.00000000,0.00000000
1782.00000000,2.00000000,45.00840944
1782.00000000,-1.00000000,45.00840944
1783.00000000,0.00000000,0.00000000
1783.00000000,1.00000000,0.00000000
1783.00000000,2.00000000,45.00937460
1783.00000000,-1.00000000,45.00937460
1784.00000000,0.00000000,0.00000000
1784.00000000,1.00000000,0.00000000
1784.00000000,2.00000000,45.01037384
1784.00000000,-1.00000000,45.01037384
1785.00000000,0.00000000,0.00000000
1785.00000000,1.00000000,0.00000000
1785.00000000,2.00000000,45.01140386
1785.00000000,-1.00000000,45.01140386
1786.00000000,0.00000000,0.00000000
1786.00000000,1.00000000,0.00000000
1786.00000000,2.00000000,45.01246097
1786.00000000,-1.00000000,45.01246097
1787.00000000,0.00000000,0.00000000
1787.00000000,1.00000000,0.00000000
1787.00000000,2.00000000,45.01354254
1787.00000000,-1.00000000,45.01354254
1788.00000000,0.00000000,0.00000000
1788.00000000,1.00000000,0.00000000
1788.00000000,2.00000000,45.01464614
1788.00000000,-1.00000000,45.01464614
1789.00000000,0.00000000,0.00000000
1789.00000000,1.00000000,0.00000000
1789.00000000,2.00000000,45.01576956
1789.00000000,-1.00000000,45.01576956
1790.00000000,0.00000000,0.00000000
1790.00000000,1.00000000,0.00000000
1790.00000000,2.00000000,45.01691079
1790.00000000,-1.00000000,45.01691079
1791.00000000,0.00000000,0.00000000
1791.00000000,1.00000000,0.00000000
1791.00000000,2.00000000,45.01806892
1791.00000000,-1.00000000,45.01806892
1792.00000000,0.00000000,0.00000000
1792.00000000,1.00000000,0.00000000
1792.00000000,2.00000000,45.01924539
1792.00000000,-1.00000000,45.01924539
1793.00000000,0.00000000,0.00000000
1793.00000000,1.00000000,0.00000000
1793.00000000,2.00000000,45.02043828
1793.00000000,-1.00000000,45.02043828
1794.00000000,0.00000000,0.00000000
1794.00000000,1.00000000,0.00000000
1794.00000000,2.00000000,45.02164477
1794.00000000,-1.00000000,45.02164477
1795.00000000,0.00000000,0.00000000
1795.00000000,1.00000000,0.00000000
1795.00000000,2.00000000,45.02286271
1795.00000000,-1.00000000,45.02286271
1796.00000000,0.00000000,0.00000000
1796.00000000,1.00000000,0.00000000
1796.00000000,2.00000000,45.02409017
1796.00000000,-1.00000000,45.02409017
1797.00000000,0.00000000,0.00000000
1797.00000000,1.00000000,0.00000000
1797.00000000,2.00000000,45.02532660
1797.00000000,-1.00000000,45.02532660
1798.00000000,0.00000000,0.00000000
1798.00000000,1.00000000,0.00000000
1798.00000000,2.00000000,45.02657373
1798.00000000,-1.00000000,45.02657373
1799.00000000,0.00000000,0.00000000
1799.00000000,1.00000000,0.00000000
1799.00000000,2.00000000,45.02782995
1799.00000000,-1.00000000,45.02782995
1800.00000000,0.00000000,0.00000000
1800.00000000,1.00000000,0.00000000
1800.00000000,2.00000000,45.02909412
1800.00000000,-1.00000000,45.02909412
1801.00000000,0.00000000,0.00000000
1801.00000000,1.00000000,0.00000000
1801.00000000,2.00000000,45.03036730
1801.00000000,-1.00000000,45.03036730
1802.00000000,0.00000000,0.00000000
1802.00000000,1.00000000,0.00000000
1802.00000000,2.00000000,45.03164973
1802.00000000,-1.00000000,45.03164973
1803.00000000,0.00000000,0.00000000
1803.00000000,1.00000000,0.00000000
1803.00000000,2.00000000,45.03294425
1803.00000000,-1.00000000,45.03294425
1804.00000000,0.00000000,0.00000000
1804.00000000,1.00000000,0.00000000
1804.00000000,2.00000000,45.03424459
1804.00000000,-1.00000000,45.03424459
1805.00000000,0.00000000,0.00000000
1805.00000000,1.00000000,0.00000000
1805.00000000,2.00000000,45.03554733
1805.00000000,-1.00000000,45.03554733
1806.00000000,0.00000000,0.00000000
1806.00000000,1.00000000,0.00000000
1806.00000000,2.00000000,45.03685200
1806.00000000,-1.00000000,45.03685200
1807.00000000,0.00000000,0.00000000
1807.00000000,1.00000000,0.00000000
1807.00000000,2.00000000,45.03816019
1807.00000000,-1.00000000,45.03816019
1808.00000000,0.00000000,0.00000000
1808.00000000,1.00000000,0.00000000
1808.00000000,2.00000000,45.03947055
1808.00000000,-1.00000000,45.03947055
1809.00000000,0.00000000,0.00000000
1809.00000000,1.00000000,0.00000000
1809.00000000,2.00000000,45.04078095
1809.00000000,-1.00000000,45.04078095
1810.00000000,0.00000000,0.00000000
1810.00000000,1.00000000,0.00000000
