"time", "pool", "value"
1765.00000000,0.00000000,       nan
1765.00000000,1.00000000,       nan
1765.00000000,2.00000000,       nan
1765.00000000,-1.00000000,       nan
1766.00000000,0.00000000,0.48165269
1766.00000000,1.00000000,0.65991198
1766.00000000,2.00000000,0.65624617
1766.00000000,-1.00000000,0.49975929
1767.00000000,0.00000000,0.92946997
1767.00000000,1.00000000,1.30759945
1767.00000000,2.00000000,1.29243302
1767.00000000,-1.00000000,0.99826807
1768.00000000,0.00000000,1.34799167
1768.00000000,1.00000000,1.94418896
1768.00000000,2.00000000,1.90885191
1768.00000000,-1.00000000,1.49470771
1769.00000000,0.00000000,1.74172778
1769.00000000,1.00000000,2.57099095
1769.00000000,2.00000000,2.50624767
1769.00000000,-1.00000000,1.98859314
1770.00000000,0.00000000,2.11495143
1770.00000000,1.00000000,3.18915229
1770.00000000,2.00000000,3.08537353
1770.00000000,-1.00000000,2.47965772
1771.00000000,0.00000000,2.38087916
1771.00000000,1.00000000,3.78521767
1771.00000000,2.00000000,3.62983458
1771.00000000,-1.00000000,2.89496501
1772.00000000,0.00000000,2.60797719
1772.00000000,1.00000000,4.33005309
1772.00000000,2.00000000,4.10608334
1772.00000000,-1.00000000,3.26989913
1773.00000000,0.00000000,2.87954958
1773.00000000,1.00000000,4.85532376
1773.00000000,2.00000000,4.55426643
1773.00000000,-1.00000000,3.67599267
1774.00000000,0.00000000,3.17008920
1774.00000000,1.00000000,5.37957389
1774.00000000,2.00000000,4.99656950
1774.00000000,-1.00000000,4.10016522
1775.00000000,0.00000000,3.46856880
1775.00000000,1.00000000,5.90797907
1775.00000000,2.00000000,5.43834904
1775.00000000,-1.00000000,4.53535037
1776.00000000,0.00000000,3.76997000
1776.00000000,1.00000000,6.44122541
1776.00000000,2.00000000,5.87966403
1776.00000000,-1.00000000,4.97741950
1777.00000000,0.00000000,4.07200040
1777.00000000,1.00000000,6.97862338
1777.00000000,2.00000000,6.31919538
1777.00000000,-1.00000000,5.42381554
1778.00000000,0.00000000,4.37365861
1778.00000000,1.00000000,7.51918389
1778.00000000,2.00000000,6.75551837
