"time", "pool", "value"
1765.00000000,0.00000000,80.06853104
1765.00000000,1.00000000,138.65183259
1765.00000000,2.00000000,34.38803672
1765.00000000,-1.00000000,111.05407333
1766.00000000,0.00000000,80.06909640
1766.00000000,1.00000000,138.65140299
1766.00000000,2.00000000,34.38808528
1766.00000000,-1.00000000,111.05396238
1767.00000000,0.00000000,80.07048430
1767.00000000,1.00000000,138.65065000
1767.00000000,2.00000000,34.38832057
1767.00000000,-1.00000000,111.05381615
1768.00000000,0.00000000,80.07187220
1768.00000000,1.00000000,138.64989701
1768.00000000,2.00000000,34.38855585
1768.00000000,-1.00000000,111.05365914
1769.00000000,0.00000000,80.07326010
1769.00000000,1.00000000,138.64914401
1769.00000000,2.00000000,34.38879113
1769.00000000,-1.00000000,111.05350213
1770.00000000,0.00000000,80.07464800
1770.00000000,1.00000000,138.64839102
1770.00000000,2.00000000,34.38943154
1770.00000000,-1.00000000,111.05334512
1771.00000000,0.00000000,80.07603590
1771.00000000,1.00000000,138.64763803
1771.00000000,2.00000000,34.39009253
1771.00000000,-1.00000000,111.05318812
1772.00000000,0.00000000,80.07742380
1772.00000000,1.00000000,138.64688504
1772.00000000,2.00000000,34.39075352
1772.00000000,-1.00000000,111.05290659
1773.00000000,0.00000000,80.07881171
1773.00000000,1.00000000,138.64613205
1773.00000000,2.00000000,34.39328767
1773.00000000,-1.00000000,111.05274179
1774.00000000,0.00000000,80.08019961
1774.00000000,1.00000000,138.64537906
1774.00000000,2.00000000,34.39678551
1774.00000000,-1.00000000,111.05256837
1775.00000000,0.00000000,80.08158751
1775.00000000,1.00000000,138.64462607
1775.00000000,2.00000000,34.40028334
1775.00000000,-1.00000000,111.05238634
1776.00000000,0.00000000,80.08297541
1776.00000000,1.00000000,138.64387307
1776.00000000,2.00000000,34.40378117
1776.00000000,-1.00000000,111.05219570
1777.00000000,0.00000000,80.08436331
1777.00000000,1.00000000,138.64312008
1777.00000000,2.00000000,34.40727900
1777.00000000,-1.00000000,111.05199640
1778.00000000,0.00000000,80.08575121
1778.00000000,1.00000000,138.64236709
1778.00000000,2.00000000,34.41077683
1778.00000000,-1.00000000,111.05176625
1779.00000000,0.00000000,80.08713911
1779.00000000,1.00000000,138.64161410
1779.00000000,2.00000000,34.41427466
1779.00000000,-1.00000000,111.05148648
1780.00000000,0.00000000,80.08852701
1780.00000000,1.00000000,138.64086111
1780.00000000,2.00000000,34.41777250
1780.00000000,-1.00000000,111.05115710
1781.00000000,0.00000000,80.08975417
1781.00000000,1.00000000,138.64010812
1781.00000000,2.00000000,34.42127033
1781.00000000,-1.00000000,111.05077811
1782.00000000,0.00000000,80.09087926
1782.00000000,1.00000000,138.63935512
1782.00000000,2.00000000,34.42476816
1782.00000000,-1.00000000,111.05034949
1783.00000000,0.00000000,80.09200435
1783.00000000,1.00000000,138.63860213
1783.00000000,2.00000000,34.42826599
1783.00000000,-1.00000000,111.04987126
1784.00000000,0.00000000,80.09312944
1784.00000000,1.00000000,138.63784914
1784.00000000,2.00000000,34.43176382
1784.00000000,-1.00000000,111.04934342
1785.00000000,0.00000000,80.09425453
1785.00000000,1.00000000,138.63709615
1785.00000000,2.00000000,34.43526165
1785.00000000,-1.00000000,111.04876596
1786.00000000,0.00000000,80.09537962
1786.00000000,1.00000000,138.63634316
1786.00000000,2.00000000,34.43875949
1786.00000000,-1.00000000,111.04813889
1787.00000000,0.00000000,80.09650471
1787.00000000,1.00000000,138.63559017
1787.00000000,2.00000000,34.44225732
1787.00000000,-1.00000000,111.04746220
1788.00000000,0.00000000,80.09762979
1788.00000000,1.00000000,138.63483717
1788.00000000,2.00000000,34.44575515
1788.00000000,-1.00000000,111.04673589
1789.00000000,0.00000000,80.09875488
1789.00000000,1.00000000,138.63408418
1789.00000000,2.00000000,34.44925298
1789.00000000,-1.00000000,111.04595997
1790.00000000,0.00000000,80.09987997
1790.00000000,1.00000000,138.63333119
1790.00000000,2.00000000,34.45275081
1790.00000000,-1.00000000,111.04513444
1791.00000000,0.00000000,80.10100506
1791.00000000,1.00000000,138.63257820
1791.00000000,2.00000000,34.45624864
1791.00000000,-1.00000000,111.04425929
1792.00000000,0.00000000,80.10213015
1792.00000000,1.00000000,138.63182521
1792.00000000,2.00000000,34.45974648
1792.00000000,-1.00000000,111.04333452
1793.00000000,0.00000000,80.10325524
1793.00000000,1.00000000,138.63107222
1793.00000000,2.00000000,34.46324431
1793.00000000,-1.00000000,111.04236014
1794.00000000,0.00000000,80.10438033
1794.00000000,1.00000000,138.63031923
1794.00000000,2.00000000,34.46674214
1794.00000000,-1.00000000,111.04133614
1795.00000000,0.00000000,80.10550542
1795.00000000,1.00000000,138.62956623
1795.00000000,2.00000000,34.47023997
1795.00000000,-1.00000000,111.04026253
1796.00000000,0.00000000,80.10573237
1796.00000000,1.00000000,138.62881324
1796.00000000,2.00000000,34.47373780
1796.00000000,-1.00000000,111.03913930
1797.00000000,0.00000000,80.10548507
1797.00000000,1.00000000,138.62806025
1797.00000000,2.00000000,34.47723563
1797.00000000,-1.00000000,111.03796646
1798.00000000,0.00000000,80.10523778
1798.00000000,1.00000000,138.62730726
1798.00000000,2.00000000,34.48073347
1798.00000000,-1.00000000,111.03674400
1799.00000000,0.00000000,80.10499048
1799.00000000,1.00000000,138.62655427
1799.00000000,2.00000000,34.48423130
1799.00000000,-1.00000000,111.03547193
1800.00000000,0.00000000,80.10474318
1800.00000000,1.00000000,138.62580128
1800.00000000,2.00000000,34.48772913
1800.00000000,-1.00000000,111.03415024
1801.00000000,0.00000000,80.10449589
1801.00000000,1.00000000,138.62504828
1801.00000000,2.00000000,34.49122696
1801.00000000,-1.00000000,111.03277894
1802.00000000,0.00000000,80.10424859
1802.00000000,1.00000000,138.62429529
1802.00000000,2.00000000,34.49472479
1802.00000000,-1.00000000,111.03135802
1803.00000000,0.00000000,80.10400130
1803.00000000,1.00000000,138.58433535
1803.00000000,2.00000000,34.49822262
1803.00000000,-1.00000000,111.02988748
1804.00000000,0.00000000,80.10375400
1804.00000000,1.00000000,138.58350387
1804.00000000,2.00000000,34.50172045
1804.00000000,-1.00000000,111.02836733
1805.00000000,0.00000000,80.10350670
1805.00000000,1.00000000,138.58261426
1805.00000000,2.00000000,34.50521829
1805.00000000,-1.00000000,111.02679757
1806.00000000,0.00000000,80.10325941
1806.00000000,1.00000000,138.58166652
1806.00000000,2.00000000,34.50899275
1806.00000000,-1.00000000,111.02517819
1807.00000000,0.00000000,80.10301211
1807.00000000,1.00000000,138.58066065
1807.00000000,2.00000000,34.51280091
1807.00000000,-1.00000000,111.02350919
1808.00000000,0.00000000,80.10276481
1808.00000000,1.00000000,138.57959665
1808.00000000,2.00000000,34.51660906
1808.00000000,-1.00000000,111.02179058
1809.00000000,0.00000000,80.10251752
1809.00000000,1.00000000,138.57847452
1809.00000000,2.00000000,34.52041721
1809.00000000,-1.00000000,111.02002235
1810.00000000,0.00000000,80.10227022
1810.00000000,1.00000000,138.57729427
1810.00000000,2.00000000,34.52422536
1810.00000000,-1.00000000,111.01820451
1811.00000000,0.00000000,80.10202293
1811.00000000,1.00000000,138.57605589
1811.00000000,2.00000000,34.52803351
1811.00000000,-1.00000000,111.01633705
1812.00000000,0.00000000,80.10177563
1812.00000000,1.00000000,138.57475937
1812.00000000,2.00000000,34.53184166
1812.00000000,-1.00000000,111.01441998
1813.00000000,0.00000000,80.10152833
1813.00000000,1.00000000,138.57340473
1813.00000000,2.00000000,34.53564981
1813.00000000,-1.00000000,111.01245329
1814.00000000,0.00000000,80.10128104
1814.00000000,1.00000000,138.57199196
1814.00000000,2.00000000,34.53945796
1814.00000000,-1.00000000,111.01043699
1815.00000000,0.00000000,80.10103374
1815.00000000,1.00000000,138.57052107
1815.00000000,2.00000000,34.54326611
1815.00000000,-1.00000000,111.00837107
1816.00000000,0.00000000,80.10078644
1816.00000000,1.00000000,138.56899204
1816.00000000,2.00000000,34.54707426
1816.00000000,-1.00000000,111.00625553
1817.00000000,0.00000000,80.10053915
1817.00000000,1.00000000,138.56740488
1817.00000000,2.00000000,34.55088241
1817.00000000,-1.00000000,111.00409038
1818.00000000,0.00000000,80.10029185
1818.00000000,1.00000000,138.56575960
1818.00000000,2.00000000,34.55469056
1818.00000000,-1.00000000,111.00187562
1819.00000000,0.00000000,80.07138785
1819.00000000,1.00000000,138.56405619
1819.00000000,2.00000000,34.55849871
1819.00000000,-1.00000000,110.99961124
1820.00000000,0.00000000,80.07100315
1820.00000000,1.00000000,138.56229465
1820.00000000,2.00000000,34.56230686
1820.00000000,-1.00000000,110.99729724
1821.00000000,0.00000000,80.07050924
1821.00000000,1.00000000,138.56047498
1821.00000000,2.00000000,34.56611501
1821.00000000,-1.00000000,110.99493363
1822.00000000,0.00000000,80.06990613
1822.00000000,1.00000000,138.55859718
1822.00000000,2.00000000,34.56992316
1822.00000000,-1.00000000,110.99252040
1823.00000000,0.00000000,80.06919381
1823.00000000,1.00000000,138.55666125
1823.00000000,2.00000000,34.57373131
1823.00000000,-1.00000000,110.99005756
1824.00000000,0.00000000,80.06837228
1824.00000000,1.00000000,138.55466720
1824.00000000,2.00000000,34.57753946
1824.00000000,-1.00000000,110.98754510
1825.00000000,0.00000000,80.06744155
1825.00000000,1.00000000,138.55261502
1825.00000000,2.00000000,34.58134761
1825.00000000,-1.00000000,110.98498303
1826.00000000,0.00000000,80.06640161
1826.00000000,1.00000000,138.55050470
1826.00000000,2.00000000,34.58515576
1826.00000000,-1.00000000,110.98237134
1827.00000000,0.00000000,80.06525246
1827.00000000,1.00000000,138.54833626
1827.00000000,2.00000000,34.58896391
1827.00000000,-1.00000000,110.97971004
1828.00000000,0.00000000,80.06399410
1828.00000000,1.00000000,138.54610969
1828.00000000,2.00000000,34.59277206
1828.00000000,-1.00000000,110.97699912
1829.00000000,0.00000000,80.06262654
1829.00000000,1.00000000,138.54382500
1829.00000000,2.00000000,34.59658021
1829.00000000,-1.00000000,110.97423859
1830.00000000,0.00000000,80.06114977
1830.00000000,1.00000000,138.54148217
1830.00000000,2.00000000,34.60038836
1830.00000000,-1.00000000,110.97142844
1831.00000000,0.00000000,80.05956379
1831.00000000,1.00000000,138.53908121
1831.00000000,2.00000000,34.60419652
1831.00000000,-1.00000000,110.96855526
1832.00000000,0.00000000,80.05786861
1832.00000000,1.00000000,138.53662213
1832.00000000,2.00000000,34.60800467
1832.00000000,-1.00000000,110.96550916
1833.00000000,0.00000000,80.05606422
1833.00000000,1.00000000,138.53410492
