"time", "pool", "value"
1765.00000000,0.00000000,       nan
1765.00000000,1.00000000,       nan
1765.00000000,2.00000000,       nan
1765.00000000,-1.00000000,       nan
1766.00000000,0.00000000,0.47249428
1766.00000000,1.00000000,0.69873968
1766.00000000,2.00000000,0.69409919
1766.00000000,-1.00000000,0.49963751
1767.00000000,0.00000000,0.88927908
1767.00000000,1.00000000,1.35573485
1767.00000000,2.00000000,1.36143536
1767.00000000,-1.00000000,0.99309588
1768.00000000,0.00000000,1.24542680
1768.00000000,1.00000000,1.99089401
1768.00000000,2.00000000,2.00466700
1768.00000000,-1.00000000,1.48292686
1769.00000000,0.00000000,1.53721847
1769.00000000,1.00000000,2.62605318
1769.00000000,2.00000000,2.62252233
1769.00000000,-1.00000000,1.96832147
1770.00000000,0.00000000,1.76465409
1770.00000000,1.00000000,3.23941440
1770.00000000,2.00000000,3.20568513
1770.00000000,-1.00000000,2.44166649
1771.00000000,0.00000000,1.92773365
1771.00000000,1.00000000,3.81369632
1771.00000000,2.00000000,3.73368955
1771.00000000,-1.00000000,2.76109593
1772.00000000,0.00000000,2.02645717
1772.00000000,1.00000000,4.32359030
1772.00000000,2.00000000,4.20580705
1772.00000000,-1.00000000,3.06497879
1773.00000000,0.00000000,2.17752098
1773.00000000,1.00000000,4.87085338
1773.00000000,2.00000000,4.62917146
1773.00000000,-1.00000000,3.41003262
1774.00000000,0.00000000,2.44435012
1774.00000000,1.00000000,5.38972300
1774.00000000,2.00000000,5.01107967
1774.00000000,-1.00000000,3.86081425
1775.00000000,0.00000000,2.68950741
1775.00000000,1.00000000,5.91184370
1775.00000000,2.00000000,5.35299423
1775.00000000,-1.00000000,4.25189884
1776.00000000,0.00000000,2.91604478
1776.00000000,1.00000000,6.44585284
1776.00000000,2.00000000,5.70017132
1776.00000000,-1.00000000,4.70280170
1777.00000000,0.00000000,3.14687365
1777.00000000,1.00000000,6.99175044
1777.00000000,2.00000000,6.07402257
1777.00000000,-1.00000000,5.16553480
1778.00000000,0.00000000,3.36076282
1778.00000000,1.00000000,7.54845568
1778.00000000,2.00000000,6.47454797
