"time", "value"
1765.00000000,104.44444444
1766.00000000,104.44443497
1767.00000000,104.44445096
1768.00000000,104.44454238
1769.00000000,104.44474358
1770.00000000,104.44507733
1771.00000000,104.44555518
1772.00000000,104.44617898
1773.00000000,104.44695407
1774.00000000,104.44788473
1775.00000000,104.44897180
1776.00000000,104.45021404
1777.00000000,104.45160859
1778.00000000,104.45315166
1779.00000000,104.45483875
1780.00000000,104.45666489
1781.00000000,104.45862258
1782.00000000,104.46069950
1783.00000000,104.46289121
1784.00000000,104.46519590
1785.00000000,104.46761030
1786.00000000,104.47013048
1787.00000000,104.47275290
1788.00000000,104.47547278
1789.00000000,104.47828694
1790.00000000,104.48118963
1791.00000000,104.48417440
1792.00000000,104.48723025
1793.00000000,104.49035445
1794.00000000,104.49354591
1795.00000000,104.49680285
1796.00000000,104.50012314
1797.00000000,104.50350163
1798.00000000,104.50692855
1799.00000000,104.51040208
1800.00000000,104.51391975
1801.00000000,104.51747414
1802.00000000,104.52106018
1803.00000000,104.52466724
1804.00000000,104.52830576
1805.00000000,104.53197944
1806.00000000,104.53568597
1807.00000000,104.53941710
1808.00000000,104.54317296
1809.00000000,104.54695479
1810.00000000,104.55076288
1811.00000000,104.55459440
1812.00000000,104.55844109
1813.00000000,104.56230268
1814.00000000,104.56618077
1815.00000000,104.57007325
1816.00000000,104.57397038
1817.00000000,104.57786337
1818.00000000,104.58174874
1819.00000000,104.58563157
1820.00000000,104.58951704
1821.00000000,104.59340829
1822.00000000,104.59730461
1823.00000000,104.60119737
1824.00000000,104.60508075
1825.00000000,104.60895618
1826.00000000,104.61282124
1827.00000000,104.61667715
1828.00000000,104.62052154
1829.00000000,104.62435822
1830.00000000,104.62817744
1831.00000000,104.63194140
1832.00000000,104.63566807
1833.00000000,104.63937271
1834.00000000,104.64305794
1835.00000000,104.64672892
1836.00000000,104.65037656
1837.00000000,104.65397760
1838.00000000,104.65754135
1839.00000000,104.66107494
1840.00000000,104.66457800
1841.00000000,104.66804530
1842.00000000,104.67147753
1843.00000000,104.67487158
1844.00000000,104.67822976
1845.00000000,104.68154348
1846.00000000,104.68479849
1847.00000000,104.68800793
1848.00000000,104.69116753
1849.00000000,104.69428461
1850.00000000,104.69734668
1851.00000000,104.70032129
1852.00000000,104.70323742
1853.00000000,104.70638889
1854.00000000,104.70968840
1855.00000000,104.71294190
1856.00000000,104.71606862
1857.00000000,104.71906361
1858.00000000,104.72196342
1859.00000000,104.72479140
1860.00000000,104.72752336
1861.00000000,104.73012875
1862.00000000,104.73253058
1863.00000000,104.73435745
1864.00000000,104.73559512
1865.00000000,104.73631573
1866.00000000,104.73659569
1867.00000000,104.73650943
1868.00000000,104.73607654
1869.00000000,104.73532343
1870.00000000,104.73426925
1871.00000000,104.73297356
1872.00000000,104.73168598
1873.00000000,104.73085270
1874.00000000,104.73047598
1875.00000000,104.73054662
1876.00000000,104.73091164
1877.00000000,104.73150298
1878.00000000,104.73229682
1879.00000000,104.73325513
1880.00000000,104.73422239
1881.00000000,104.73505462
1882.00000000,104.73579521
1883.00000000,104.73608367
1884.00000000,104.73588651
1885.00000000,104.73536584
1886.00000000,104.73465735
1887.00000000,104.73380352
1888.00000000,104.73268745
1889.00000000,104.73113540
1890.00000000,104.72919895
1891.00000000,104.72677161
1892.00000000,104.72390338
1893.00000000,104.72086563
1894.00000000,104.71785074
1895.00000000,104.71490107
1896.00000000,104.71189344
1897.00000000,104.70876244
1898.00000000,104.70541364
1899.00000000,104.70169462
1900.00000000,104.69739510
1901.00000000,104.69258898
1902.00000000,104.68769404
1903.00000000,104.68275006
1904.00000000,104.67767429
1905.00000000,104.67266521
1906.00000000,104.66767611
1907.00000000,104.66251107
1908.00000000,104.65689698
1909.00000000,104.65132079
1910.00000000,104.64573587
1911.00000000,104.63993003
1912.00000000,104.63353697
1913.00000000,104.62609922
1914.00000000,104.61754645
1915.00000000,104.60902350
1916.00000000,104.60079134
1917.00000000,104.59235843
1918.00000000,104.58352438
1919.00000000,104.57503058
1920.00000000,104.56783171
1921.00000000,104.56127514
1922.00000000,104.55628102
1923.00000000,104.55209870
1924.00000000,104.54754582
1925.00000000,104.54272845
1926.00000000,104.53780416
1927.00000000,104.53278992
1928.00000000,104.52746871
1929.00000000,104.52189346
1930.00000000,104.51619541
1931.00000000,104.51201157
