"time", "value"
1765.00000000,34.41107888
1766.00000000,34.41112865
1767.00000000,34.41110837
1768.00000000,34.41120583
1769.00000000,34.41137500
1770.00000000,34.41167272
1771.00000000,34.41207343
1772.00000000,34.41266172
1773.00000000,34.41335505
1774.00000000,34.41422944
1775.00000000,34.41517977
1776.00000000,34.41632631
1777.00000000,34.41757065
1778.00000000,34.41892611
1779.00000000,34.42043550
1780.00000000,34.42206231
1781.00000000,34.42388410
1782.00000000,34.42576278
1783.00000000,34.42775872
1784.00000000,34.42988213
1785.00000000,34.43207433
1786.00000000,34.43437690
1787.00000000,34.43679557
1788.00000000,34.43925350
1789.00000000,34.44182564
1790.00000000,34.44449571
1791.00000000,34.44725425
1792.00000000,34.45006548
1793.00000000,34.45293255
1794.00000000,34.45587708
1795.00000000,34.45889510
1796.00000000,34.46195014
1797.00000000,34.46509075
1798.00000000,34.46826191
1799.00000000,34.47149749
1800.00000000,34.47478432
1801.00000000,34.47809527
1802.00000000,34.48152590
1803.00000000,34.48496858
1804.00000000,34.48846171
1805.00000000,34.49197527
1806.00000000,34.49552633
1807.00000000,34.49912532
1808.00000000,34.50276229
1809.00000000,34.50641490
1810.00000000,34.51010394
1811.00000000,34.51382190
1812.00000000,34.51755917
1813.00000000,34.52131748
1814.00000000,34.52510363
1815.00000000,34.52889725
1816.00000000,34.53272580
1817.00000000,34.53656825
1818.00000000,34.54041755
1819.00000000,34.49429667
1820.00000000,34.49815198
1821.00000000,34.50204499
1822.00000000,34.50594339
1823.00000000,34.50985363
1824.00000000,34.51376557
1825.00000000,34.51767780
1826.00000000,34.52159517
1827.00000000,34.52552446
1828.00000000,34.52947826
1829.00000000,34.53341228
1830.00000000,34.53736451
1831.00000000,34.54125817
1832.00000000,34.54513650
1833.00000000,34.54902047
1834.00000000,34.55290195
1835.00000000,34.55679207
1836.00000000,34.56066889
1837.00000000,34.56453011
1838.00000000,34.56840966
1839.00000000,34.57226753
1840.00000000,34.57609565
1841.00000000,34.57989552
1842.00000000,34.58368830
1843.00000000,34.58745599
1844.00000000,34.59120470
1845.00000000,34.59492100
1846.00000000,34.59858132
1847.00000000,34.60223819
1848.00000000,34.60585785
1849.00000000,34.60943704
1850.00000000,34.61298976
1851.00000000,34.61648802
1852.00000000,34.61996128
1853.00000000,34.62365254
1854.00000000,34.62752178
1855.00000000,34.63134165
1856.00000000,34.63506334
1857.00000000,34.63863835
1858.00000000,34.64217561
1859.00000000,34.64562849
1860.00000000,34.64905426
1861.00000000,34.65234762
1862.00000000,34.65546444
1863.00000000,34.65807142
1864.00000000,34.66013285
1865.00000000,34.66170382
1866.00000000,34.66295470
1867.00000000,34.66393801
1868.00000000,34.66455806
1869.00000000,34.66487343
1870.00000000,34.66493947
1871.00000000,34.66477655
1872.00000000,34.66466989
1873.00000000,34.66501383
1874.00000000,34.66574210
1875.00000000,34.66691774
1876.00000000,34.66840641
1877.00000000,34.67012114
1878.00000000,34.67202040
1879.00000000,34.67410501
1880.00000000,34.67622792
1881.00000000,34.67828432
1882.00000000,34.68021075
1883.00000000,34.68182460
1884.00000000,34.68297134
1885.00000000,34.68384547
1886.00000000,34.68457407
1887.00000000,34.68518220
1888.00000000,34.68559519
1889.00000000,34.68558869
1890.00000000,34.68539079
1891.00000000,34.68481805
1892.00000000,34.68389549
1893.00000000,34.68281138
1894.00000000,34.68175812
1895.00000000,34.68076992
1896.00000000,34.67982593
1897.00000000,34.67890530
1898.00000000,34.67776383
1899.00000000,34.67635202
1900.00000000,34.67453042
1901.00000000,34.67233791
1902.00000000,34.67005492
1903.00000000,34.66778659
1904.00000000,34.66544884
1905.00000000,34.66323861
1906.00000000,34.66104420
1907.00000000,34.65874897
1908.00000000,34.65625749
1909.00000000,34.65399693
1910.00000000,34.65160441
1911.00000000,34.64885319
1912.00000000,34.64569170
1913.00000000,34.64141966
1914.00000000,34.63601905
1915.00000000,34.63075532
1916.00000000,34.62631419
1917.00000000,34.62192872
1918.00000000,34.61739758
1919.00000000,34.61344710
1920.00000000,34.61086296
1921.00000000,34.60883633
1922.00000000,34.60822268
1923.00000000,34.60854523
1924.00000000,34.60909966
1925.00000000,34.60965538
1926.00000000,34.61046348
1927.00000000,34.61168962
1928.00000000,34.61269539
1929.00000000,34.61319179
1930.00000000,34.61348463
1931.00000000,34.61559181
1932.00000000,34.62032040
1933.00000000,34.62734098
1934.00000000,34.63562008
1935.00000000,34.64457331
1936.00000000,34.65329019
1937.00000000,34.66074709
1938.00000000,34.66664453
1939.00000000,34.67224563
1940.00000000,34.67753673
1941.00000000,34.73144382
1942.00000000,34.73470120
1943.00000000,34.73843429
1944.00000000,34.74173060
1945.00000000,34.74476777
1946.00000000,34.75055314
1947.00000000,34.75827099
1948.00000000,34.76638277
1949.00000000,34.72509063
1950.00000000,34.73305977
1951.00000000,34.73784172
1952.00000000,34.74205362
1953.00000000,34.74718502
1954.00000000,34.75206317
1955.00000000,34.75445645
1956.00000000,34.75540069
1957.00000000,34.75512380
1958.00000000,34.75168591
1959.00000000,34.74888292
1960.00000000,34.74546026
1961.00000000,34.73982867
1962.00000000,34.78261632
1963.00000000,34.77516096
1964.00000000,34.76664527
1965.00000000,34.70601911
1966.00000000,34.69248670
1967.00000000,34.67328796
1968.00000000,34.64856119
1969.00000000,34.61968204
1970.00000000,34.58856400
1971.00000000,34.60402376
1972.00000000,34.56690481
1973.00000000,34.52786748
1974.00000000,34.48422445
1975.00000000,34.43851577
1976.00000000,34.39447366
1977.00000000,34.35052802
1978.00000000,34.30555168
1979.00000000,34.26042801
1980.00000000,34.16337259
1981.00000000,34.11164961
1982.00000000,34.11390854
1983.00000000,34.07496718
1984.00000000,34.02498092
1985.00000000,34.00085526
1986.00000000,33.98003322
1987.00000000,33.96014964
1988.00000000,33.94053458
1989.00000000,33.92193525
1990.00000000,33.90549600
1991.00000000,33.89079954
1992.00000000,33.87796160
1993.00000000,33.86864701
1994.00000000,33.86335881
1995.00000000,33.85996474
1996.00000000,33.85775048
1997.00000000,33.85731941
1998.00000000,33.85900264
1999.00000000,33.86372315
2000.00000000,33.87182908
2001.00000000,33.88176348
2002.00000000,33.89331807
2003.00000000,33.90792480
2004.00000000,33.92435917
2005.00000000,33.93974026
2006.00000000,33.95220626
2007.00000000,33.96277615
2008.00000000,33.97036609
2009.00000000,33.97285190
2010.00000000,33.97329106
2011.00000000,33.97357984
2012.00000000,33.97172771
2013.00000000,33.96860921
2014.00000000,33.95796575
2015.00000000,33.94138809
2016.00000000,33.92075755
2017.00000000,33.89730061
2018.00000000,33.87180416
2019.00000000,33.84475998
2020.00000000,33.81645626
2021.00000000,33.78820893
2022.00000000,33.75998390
2023.00000000,33.73075455
2024.00000000,33.70073099
2025.00000000,33.66818317
2026.00000000,33.63318527
2027.00000000,33.59765262
2028.00000000,33.56225457
2029.00000000,33.52689236
2030.00000000,33.49174688
2031.00000000,33.45520992
2032.00000000,33.41677299
2033.00000000,33.37841079
2034.00000000,33.34002478
2035.00000000,33.30046482
2036.00000000,33.26355592
2037.00000000,33.23067146
2038.00000000,33.20011229
2039.00000000,33.17100088
2040.00000000,33.14350506
2041.00000000,33.11730893
2042.00000000,33.09169083
2043.00000000,33.06654851
2044.00000000,33.04257781
2045.00000000,33.01971743
2046.00000000,32.99800357
2047.00000000,32.97765387
2048.00000000,32.95861447
2049.00000000,32.99093733
2050.00000000,32.97463495
2051.00000000,32.95970642
2052.00000000,32.94622197
2053.00000000,32.93410005
2054.00000000,32.92310085
2055.00000000,32.91321587
2056.00000000,32.90441493
2057.00000000,32.89669845
2058.00000000,32.89012113
2059.00000000,32.88470728
2060.00000000,32.88046737
2061.00000000,32.87760861
2062.00000000,32.87683528
2063.00000000,32.87881558
2064.00000000,32.88456714
2065.00000000,32.89439749
2066.00000000,32.90855205
2067.00000000,32.92697875
2068.00000000,32.94962343
2069.00000000,32.97635349
2070.00000000,33.00709850
2071.00000000,33.04184956
2072.00000000,33.08107793
2073.00000000,33.12533352
2074.00000000,33.17508686
2075.00000000,33.23044002
2076.00000000,33.29129422
2077.00000000,33.35754536
2078.00000000,33.42901472
2079.00000000,33.50642152
2080.00000000,33.58972952
2081.00000000,33.67801501
2082.00000000,33.77121243
2083.00000000,33.86928862
2084.00000000,33.97228197
2085.00000000,34.08007783
2086.00000000,34.19253939
2087.00000000,34.30949954
2088.00000000,34.43077792
2089.00000000,34.55612457
2090.00000000,34.63543826
2091.00000000,34.76859052
2092.00000000,34.90580921
2093.00000000,35.04721288
2094.00000000,35.19279751
2095.00000000,35.34251818
2096.00000000,35.49627077
2097.00000000,35.65378350
2098.00000000,35.81384101
2099.00000000,35.97625825
2100.00000000,36.14101479
2101.00000000,36.30809966
2102.00000000,36.47787965
2103.00000000,36.65057160
2104.00000000,36.82628901
2105.00000000,37.00497191
2106.00000000,37.18661399
2107.00000000,37.37114181
2108.00000000,37.55848782
2109.00000000,37.74809774
2110.00000000,37.93935671
2111.00000000,38.13217796
2112.00000000,38.32656436
2113.00000000,38.52257832
2114.00000000,38.72018543
2115.00000000,38.91933419
2116.00000000,39.11998692
2117.00000000,39.32208888
2118.00000000,39.52561146
2119.00000000,39.73052430
2120.00000000,39.93678277
2121.00000000,40.14416796
2122.00000000,40.35232901
2123.00000000,40.56123312
2124.00000000,40.77088266
2125.00000000,40.98130175
2126.00000000,41.19244251
2127.00000000,41.40431351
2128.00000000,41.61690275
2129.00000000,41.83021021
2130.00000000,42.04419447
2131.00000000,42.25888939
2132.00000000,42.47424997
2133.00000000,42.69023939
2134.00000000,42.90653047
2135.00000000,43.12293782
2136.00000000,43.33952468
2137.00000000,43.55626837
2138.00000000,43.77319217
2139.00000000,43.99025424
2140.00000000,44.20647831
2141.00000000,44.41997176
2142.00000000,44.63386049
2143.00000000,44.84812219
2144.00000000,45.06274581
2145.00000000,45.27767420
2146.00000000,45.49293273
2147.00000000,45.70840137
2148.00000000,45.97384532
2149.00000000,46.18922980
2150.00000000,46.40456084
2151.00000000,46.62026209
2152.00000000,46.83809411
2153.00000000,47.05945620
2154.00000000,47.28503440
2155.00000000,47.51515797
2156.00000000,47.75001459
2157.00000000,47.98964556
2158.00000000,48.23397136
2159.00000000,48.48289006
2160.00000000,48.73631203
2161.00000000,48.99412107
2162.00000000,49.25620836
2163.00000000,49.52243566
2164.00000000,49.79272628
2165.00000000,50.06693807
2166.00000000,50.34500321
2167.00000000,50.62679580
2168.00000000,50.91222727
2169.00000000,51.20119202
2170.00000000,51.49364022
2171.00000000,51.78946048
2172.00000000,52.08860565
2173.00000000,52.39098640
2174.00000000,52.69652651
2175.00000000,53.00518109
2176.00000000,53.31687154
2177.00000000,53.63155059
2178.00000000,53.94917428
2179.00000000,54.26966021
2180.00000000,54.59296099
2181.00000000,54.91906183
2182.00000000,55.24790439
2183.00000000,55.57943006
2184.00000000,55.91361773
2185.00000000,56.25043061
2186.00000000,56.58980425
2187.00000000,56.93173513
2188.00000000,57.27615618
2189.00000000,57.62309521
2190.00000000,57.97247438
2191.00000000,58.32428049
2192.00000000,58.67850985
2193.00000000,59.03510009
2194.00000000,59.39404403
2195.00000000,59.75530565
2196.00000000,60.11891164
2197.00000000,60.48477846
2198.00000000,60.85293357
2199.00000000,61.22333627
2200.00000000,61.59599498
2201.00000000,61.97085848
2202.00000000,62.34794206
2203.00000000,62.72721143
2204.00000000,63.10864979
2205.00000000,63.49228218
2206.00000000,63.87807820
2207.00000000,64.26599718
2208.00000000,64.65605109
2209.00000000,65.04824304
2210.00000000,65.44257146
2211.00000000,65.83899200
2212.00000000,66.23752693
2213.00000000,66.63813246
2214.00000000,67.04084030
2215.00000000,67.44560805
2216.00000000,67.85248422
2217.00000000,68.26141373
2218.00000000,68.67240520
2219.00000000,69.08537580
2220.00000000,69.49995701
2221.00000000,69.91533132
2222.00000000,70.33143495
2223.00000000,70.74830655
2224.00000000,71.16350047
2225.00000000,71.57869764
2226.00000000,71.99478137
2227.00000000,72.41177489
2228.00000000,72.82967548
2229.00000000,73.24848497
2230.00000000,73.66823135
2231.00000000,74.08891541
2232.00000000,74.51056381
2233.00000000,74.98315189
2234.00000000,75.40669805
2235.00000000,75.83121339
2236.00000000,76.25670838
2237.00000000,76.68317256
2238.00000000,77.11061270
2239.00000000,77.53905736
2240.00000000,77.96845596
2241.00000000,78.39885719
2242.00000000,78.83027111
2243.00000000,79.26264124
2244.00000000,79.69601304
2245.00000000,80.13038885
2246.00000000,80.56583565
2247.00000000,81.00227140
2248.00000000,81.43978998
2249.00000000,81.88764713
2250.00000000,82.30649867
2251.00000000,82.77201261
2252.00000000,83.18248517
2253.00000000,83.61495490
2254.00000000,84.03748753
