"time", "value"
1765.00000000,       nan
1766.00000000,34.41788205
1767.00000000,34.41863339
1768.00000000,34.41947431
1769.00000000,34.42041127
1770.00000000,34.42143399
1771.00000000,34.42329473
1772.00000000,34.42448339
1773.00000000,34.42574853
1774.00000000,34.42708825
1775.00000000,34.42849737
1776.00000000,34.42997733
1777.00000000,34.43151724
1778.00000000,34.43312531
1779.00000000,34.43478875
1780.00000000,34.43651323
1781.00000000,34.43905039
1782.00000000,34.44088293
1783.00000000,34.44277170
1784.00000000,34.44470529
1785.00000000,34.44668645
1786.00000000,34.44871111
1787.00000000,34.45077948
1788.00000000,34.45288983
1789.00000000,34.45504052
1790.00000000,34.45723095
1791.00000000,34.46021250
1792.00000000,34.46248096
1793.00000000,34.46477814
1794.00000000,34.46711338
1795.00000000,34.46947916
1796.00000000,34.47187428
1797.00000000,34.47505876
1798.00000000,34.47751844
1799.00000000,34.48000766
1800.00000000,34.48327704
1801.00000000,34.48582553
1802.00000000,34.48989876
1803.00000000,34.49174296
1804.00000000,34.49435982
1805.00000000,34.49699788
1806.00000000,34.50041394
1807.00000000,34.50309336
1808.00000000,34.50579777
1809.00000000,34.50852131
1810.00000000,34.51126279
1811.00000000,34.51478380
1812.00000000,34.51757004
1813.00000000,34.52037860
1814.00000000,34.52320774
1815.00000000,34.52681345
1816.00000000,34.53044142
1817.00000000,34.53409139
1818.00000000,34.53700571
1819.00000000,34.53993711
1820.00000000,34.54288831
1821.00000000,34.54585331
1822.00000000,34.54959747
1823.00000000,34.55336152
1824.00000000,34.55639665
1825.00000000,34.56020829
1826.00000000,34.56329924
1827.00000000,34.56716511
1828.00000000,34.57031313
1829.00000000,34.57350031
1830.00000000,34.58124353
1831.00000000,34.58376274
1832.00000000,34.58706526
1833.00000000,34.59116408
1834.00000000,34.59454995
1835.00000000,34.59872865
1836.00000000,34.60521913
1837.00000000,34.60874045
1838.00000000,34.61305871
1839.00000000,34.61741419
1840.00000000,34.62256877
1841.00000000,34.62701218
1842.00000000,34.63225515
1843.00000000,34.63678735
1844.00000000,34.64212550
1845.00000000,34.64902791
1846.00000000,34.65296658
1847.00000000,34.65923125
1848.00000000,34.66405178
1849.00000000,34.67044912
1850.00000000,34.67768197
1851.00000000,34.68199957
1852.00000000,34.68868443
1853.00000000,34.69469593
1854.00000000,34.70675846
1855.00000000,34.71282712
1856.00000000,34.72117846
1857.00000000,34.72654818
1858.00000000,34.73195560
1859.00000000,34.74040004
1860.00000000,34.75112340
1861.00000000,34.75884589
1862.00000000,34.76505668
1863.00000000,34.77506261
1864.00000000,34.78595515
1865.00000000,34.79625646
1866.00000000,34.80374059
1867.00000000,34.81536519
1868.00000000,34.82482445
1869.00000000,34.83607887
1870.00000000,34.84615187
1871.00000000,34.85962184
1872.00000000,34.87950452
1873.00000000,34.89519570
1874.00000000,34.89530577
1875.00000000,34.91362964
1876.00000000,34.92385427
1877.00000000,34.93426145
1878.00000000,34.94370528
1879.00000000,34.96277976
1880.00000000,34.99110379
1881.00000000,35.00535331
1882.00000000,35.02427041
1883.00000000,35.04560559
1884.00000000,35.05737325
1885.00000000,35.06860078
1886.00000000,35.08157044
1887.00000000,35.10231318
1888.00000000,35.13685615
1889.00000000,35.14764943
1890.00000000,35.18051305
1891.00000000,35.20391672
1892.00000000,35.21711797
1893.00000000,35.22613582
1894.00000000,35.24828683
1895.00000000,35.27833101
1896.00000000,35.30129516
1897.00000000,35.33068709
1898.00000000,35.36353802
1899.00000000,35.40958841
1900.00000000,35.44488613
1901.00000000,35.47390992
1902.00000000,35.50039921
1903.00000000,35.55498912
1904.00000000,35.57708125
1905.00000000,35.62345114
