"time", "pool", "value"
1765.00000000,0.00000000,141.44444444
1765.00000000,1.00000000,191.44444444
1765.00000000,2.00000000,104.44444444
1765.00000000,-1.00000000,165.48699764
1766.00000000,0.00000000,141.44408173
1766.00000000,1.00000000,191.44444035
1766.00000000,2.00000000,104.44443507
1766.00000000,-1.00000000,165.48689242
1767.00000000,0.00000000,141.44413110
1767.00000000,1.00000000,191.44443136
1767.00000000,2.00000000,104.44445178
1767.00000000,-1.00000000,165.48678830
1768.00000000,0.00000000,141.44450929
1768.00000000,1.00000000,191.44442350
1768.00000000,2.00000000,104.44454553
1768.00000000,-1.00000000,165.48668543
1769.00000000,0.00000000,141.44515291
1769.00000000,1.00000000,191.44442039
1769.00000000,2.00000000,104.44475136
1769.00000000,-1.00000000,165.48658375
1770.00000000,0.00000000,141.44600556
1770.00000000,1.00000000,191.44442559
1770.00000000,2.00000000,104.44509333
1770.00000000,-1.00000000,165.48648165
1771.00000000,0.00000000,141.44695307
1771.00000000,1.00000000,191.44444064
1771.00000000,2.00000000,104.44558418
1771.00000000,-1.00000000,165.48636399
1772.00000000,0.00000000,141.44798327
1772.00000000,1.00000000,191.44446455
1772.00000000,2.00000000,104.44622575
1772.00000000,-1.00000000,165.48622919
1773.00000000,0.00000000,141.44917412
1773.00000000,1.00000000,191.44449848
1773.00000000,2.00000000,104.44702385
1773.00000000,-1.00000000,165.48609464
1774.00000000,0.00000000,141.45050024
1774.00000000,1.00000000,191.44454363
1774.00000000,2.00000000,104.44798249
1774.00000000,-1.00000000,165.48595987
1775.00000000,0.00000000,141.45194275
1775.00000000,1.00000000,191.44460080
1775.00000000,2.00000000,104.44910231
1775.00000000,-1.00000000,165.48582441
1776.00000000,0.00000000,141.45348587
1776.00000000,1.00000000,191.44467042
1776.00000000,2.00000000,104.45038179
1776.00000000,-1.00000000,165.48568776
1777.00000000,0.00000000,141.45511694
1777.00000000,1.00000000,191.44475267
1777.00000000,2.00000000,104.45181763
1777.00000000,-1.00000000,165.48554935
1778.00000000,0.00000000,141.45682645
1778.00000000,1.00000000,191.44484753
1778.00000000,2.00000000,104.45340507
1778.00000000,-1.00000000,165.48540863
1779.00000000,0.00000000,141.45860614
1779.00000000,1.00000000,191.44495483
1779.00000000,2.00000000,104.45513879
1779.00000000,-1.00000000,165.48526502
1780.00000000,0.00000000,141.46044892
1780.00000000,1.00000000,191.44507428
1780.00000000,2.00000000,104.45701303
1780.00000000,-1.00000000,165.48511791
1781.00000000,0.00000000,141.46225590
1781.00000000,1.00000000,191.44520498
1781.00000000,2.00000000,104.45901929
1781.00000000,-1.00000000,165.48494923
1782.00000000,0.00000000,141.46404600
1782.00000000,1.00000000,191.44534414
1782.00000000,2.00000000,104.46114443
1782.00000000,-1.00000000,165.48475854
1783.00000000,0.00000000,141.46591402
1783.00000000,1.00000000,191.44549136
1783.00000000,2.00000000,104.46338348
1783.00000000,-1.00000000,165.48456304
1784.00000000,0.00000000,141.46784848
1784.00000000,1.00000000,191.44564668
1784.00000000,2.00000000,104.46573336
1784.00000000,-1.00000000,165.48436226
1785.00000000,0.00000000,141.46984020
1785.00000000,1.00000000,191.44580990
1785.00000000,2.00000000,104.46819037
1785.00000000,-1.00000000,165.48415571
1786.00000000,0.00000000,141.47188161
1786.00000000,1.00000000,191.44598076
1786.00000000,2.00000000,104.47075022
1786.00000000,-1.00000000,165.48394287
1787.00000000,0.00000000,141.47396671
1787.00000000,1.00000000,191.44615883
1787.00000000,2.00000000,104.47340829
1787.00000000,-1.00000000,165.48372322
1788.00000000,0.00000000,141.47608845
1788.00000000,1.00000000,191.44634360
1788.00000000,2.00000000,104.47615880
1788.00000000,-1.00000000,165.48349608
1789.00000000,0.00000000,141.47824314
1789.00000000,1.00000000,191.44653461
1789.00000000,2.00000000,104.47899694
1789.00000000,-1.00000000,165.48326094
1790.00000000,0.00000000,141.48042662
1790.00000000,1.00000000,191.44673118
1790.00000000,2.00000000,104.48191734
1790.00000000,-1.00000000,165.48301709
1791.00000000,0.00000000,141.48254373
1791.00000000,1.00000000,191.44693207
1791.00000000,2.00000000,104.48491252
1791.00000000,-1.00000000,165.48274664
1792.00000000,0.00000000,141.48461601
1792.00000000,1.00000000,191.44713430
1792.00000000,2.00000000,104.48797088
1792.00000000,-1.00000000,165.48244938
1793.00000000,0.00000000,141.48673726
1793.00000000,1.00000000,191.44733725
1793.00000000,2.00000000,104.49108891
1793.00000000,-1.00000000,165.48214200
1794.00000000,0.00000000,141.48889901
1794.00000000,1.00000000,191.44754078
1794.00000000,2.00000000,104.49426518
1794.00000000,-1.00000000,165.48182431
1795.00000000,0.00000000,141.49109383
1795.00000000,1.00000000,191.44774462
1795.00000000,2.00000000,104.49749748
1795.00000000,-1.00000000,165.48149586
1796.00000000,0.00000000,141.49331329
1796.00000000,1.00000000,191.44794838
1796.00000000,2.00000000,104.50078284
1796.00000000,-1.00000000,165.48115602
1797.00000000,0.00000000,141.49546020
1797.00000000,1.00000000,191.44815094
1797.00000000,2.00000000,104.50411563
1797.00000000,-1.00000000,165.48078681
1798.00000000,0.00000000,141.49755500
1798.00000000,1.00000000,191.44834939
1798.00000000,2.00000000,104.50748547
1798.00000000,-1.00000000,165.48038791
1799.00000000,0.00000000,141.49968807
1799.00000000,1.00000000,191.44854317
1799.00000000,2.00000000,104.51089015
1799.00000000,-1.00000000,165.47997561
1800.00000000,0.00000000,141.50176611
1800.00000000,1.00000000,191.44873171
1800.00000000,2.00000000,104.51432726
1800.00000000,-1.00000000,165.47953369
1801.00000000,0.00000000,141.50380027
1801.00000000,1.00000000,191.44891239
1801.00000000,2.00000000,104.51778848
1801.00000000,-1.00000000,165.47906112
1802.00000000,0.00000000,141.50569742
1802.00000000,1.00000000,191.44908394
1802.00000000,2.00000000,104.52126894
1802.00000000,-1.00000000,165.47854022
1803.00000000,0.00000000,141.50758456
1803.00000000,1.00000000,191.44924229
1803.00000000,2.00000000,104.52475774
1803.00000000,-1.00000000,165.47798817
1804.00000000,0.00000000,141.50962723
1804.00000000,1.00000000,191.44938991
1804.00000000,2.00000000,104.52826427
1804.00000000,-1.00000000,165.47743990
1805.00000000,0.00000000,141.51170012
1805.00000000,1.00000000,191.44952764
1805.00000000,2.00000000,104.53179217
1805.00000000,-1.00000000,165.47687694
1806.00000000,0.00000000,141.51370755
1806.00000000,1.00000000,191.44965480
1806.00000000,2.00000000,104.53533840
1806.00000000,-1.00000000,165.47628233
1807.00000000,0.00000000,141.51566368
1807.00000000,1.00000000,191.44976899
1807.00000000,2.00000000,104.53889508
1807.00000000,-1.00000000,165.47565556
1808.00000000,0.00000000,141.51765883
