"time", "value"
1765.00000000,       nan
1766.00000000,79.97705087
1767.00000000,79.97411106
1768.00000000,79.97109841
1769.00000000,79.96801806
1770.00000000,79.96488411
1771.00000000,79.96168666
1772.00000000,79.95843997
1773.00000000,79.95514248
1774.00000000,79.95178637
1775.00000000,79.94836782
1776.00000000,79.94490268
1777.00000000,79.94138235
1778.00000000,79.93783246
1779.00000000,79.93420351
1780.00000000,79.93055870
1781.00000000,79.92685876
1782.00000000,79.92312910
1783.00000000,79.91935966
1784.00000000,79.91558917
1785.00000000,79.91176971
1786.00000000,79.90798689
1787.00000000,79.90417844
1788.00000000,79.90037560
1789.00000000,79.89657588
1790.00000000,79.89278565
1791.00000000,79.88901006
1792.00000000,79.88527069
1793.00000000,79.88151214
1794.00000000,79.87779596
1795.00000000,79.87405996
1796.00000000,79.87033513
1797.00000000,79.86658324
1798.00000000,79.86284521
1799.00000000,79.85907283
1800.00000000,79.85530773
1801.00000000,79.85152010
1802.00000000,79.84772497
1803.00000000,79.84391802
1804.00000000,79.84011687
1805.00000000,79.83632106
1806.00000000,79.83255008
1807.00000000,79.82876732
1808.00000000,79.82503403
1809.00000000,79.82129956
1810.00000000,79.81758668
1811.00000000,79.81390755
1812.00000000,79.81025782
1813.00000000,79.80664441
1814.00000000,79.80306334
1815.00000000,79.79951679
1816.00000000,79.79600419
1817.00000000,79.79254982
1818.00000000,79.78910650
1819.00000000,79.78573441
1820.00000000,79.78239462
1821.00000000,79.77909677
1822.00000000,79.77584165
1823.00000000,79.77265135
1824.00000000,79.76947649
1825.00000000,79.76637546
1826.00000000,79.76330122
1827.00000000,79.76026717
1828.00000000,79.75726695
1829.00000000,79.75430363
1830.00000000,79.75139348
1831.00000000,79.74851147
1832.00000000,79.74570001
1833.00000000,79.74293714
1834.00000000,79.74026257
1835.00000000,79.73762594
1836.00000000,79.73510600
1837.00000000,79.73266470
1838.00000000,79.73031395
1839.00000000,79.72805530
1840.00000000,79.72588630
1841.00000000,79.72379962
1842.00000000,79.72180241
1843.00000000,79.71983576
1844.00000000,79.71792496
1845.00000000,79.71606792
1846.00000000,79.71422046
1847.00000000,79.71242921
1848.00000000,79.71064635
1849.00000000,79.70886963
1850.00000000,79.70709662
1851.00000000,79.70530256
1852.00000000,79.70346540
1853.00000000,79.70163890
1854.00000000,79.69983782
1855.00000000,79.69808210
1856.00000000,79.69636891
1857.00000000,79.69467317
1858.00000000,79.69308836
1859.00000000,79.69158985
1860.00000000,79.69025026
1861.00000000,79.68914017
1862.00000000,79.68828606
1863.00000000,79.68757340
1864.00000000,79.68702016
1865.00000000,79.68658633
1866.00000000,79.68627357
1867.00000000,79.68605998
1868.00000000,79.68584977
1869.00000000,79.68563033
1870.00000000,79.68527015
1871.00000000,79.68470750
1872.00000000,79.68397859
1873.00000000,79.68325320
1874.00000000,79.68260107
1875.00000000,79.68202363
1876.00000000,79.68145808
1877.00000000,79.68092683
1878.00000000,79.68041054
1879.00000000,79.67985240
1880.00000000,79.67928586
1881.00000000,79.67884033
1882.00000000,79.67857194
1883.00000000,79.67850666
1884.00000000,79.67858482
1885.00000000,79.67883032
1886.00000000,79.67923613
1887.00000000,79.67977238
1888.00000000,79.68043624
1889.00000000,79.68131030
1890.00000000,79.68238886
1891.00000000,79.68374984
1892.00000000,79.68544882
1893.00000000,79.68744494
1894.00000000,79.68978102
1895.00000000,79.69239124
1896.00000000,79.69533175
1897.00000000,79.69852912
1898.00000000,79.70191940
1899.00000000,79.70547669
1900.00000000,79.70917260
1901.00000000,79.71306243
1902.00000000,79.71712462
1903.00000000,79.72126696
1904.00000000,79.72549195
1905.00000000,79.72975290
1906.00000000,79.73409224
1907.00000000,79.73865844
1908.00000000,79.74369492
1909.00000000,79.74919501
1910.00000000,79.75520325
1911.00000000,79.76186343
1912.00000000,79.76920390
1913.00000000,79.77737551
