"time", "pool", "value"
1765.00000000,0.00000000,       nan
1765.00000000,1.00000000,       nan
1765.00000000,2.00000000,       nan
1765.00000000,-1.00000000,       nan
1766.00000000,0.00000000,0.48165269
1766.00000000,1.00000000,0.65991193
1766.00000000,2.00000000,0.65624617
1766.00000000,-1.00000000,0.49975929
1767.00000000,0.00000000,0.92946994
1767.00000000,1.00000000,1.30759916
1767.00000000,2.00000000,1.29243299
1767.00000000,-1.00000000,0.99826807
1768.00000000,0.00000000,1.34799152
1768.00000000,1.00000000,1.94418809
1768.00000000,2.00000000,1.90885183
1768.00000000,-1.00000000,1.49470771
1769.00000000,0.00000000,1.74172656
1769.00000000,1.00000000,2.57099047
1769.00000000,2.00000000,2.50625002
1769.00000000,-1.00000000,1.98859317
1770.00000000,0.00000000,2.11494965
1770.00000000,1.00000000,3.18915040
1770.00000000,2.00000000,3.08537606
1770.00000000,-1.00000000,2.47965790
1771.00000000,0.00000000,2.38087697
1771.00000000,1.00000000,3.78521288
1771.00000000,2.00000000,3.62983620
1771.00000000,-1.00000000,2.89496442
1772.00000000,0.00000000,2.60797468
1772.00000000,1.00000000,4.33004386
1772.00000000,2.00000000,4.10608355
1772.00000000,-1.00000000,3.26989771
1773.00000000,0.00000000,2.87954688
1773.00000000,1.00000000,4.85530880
1773.00000000,2.00000000,4.55426488
1773.00000000,-1.00000000,3.67599229
1774.00000000,0.00000000,3.17008607
1774.00000000,1.00000000,5.37955213
1774.00000000,2.00000000,4.99656607
1774.00000000,-1.00000000,4.10016557
1775.00000000,0.00000000,3.46856492
1775.00000000,1.00000000,5.90794933
1775.00000000,2.00000000,5.43834353
1775.00000000,-1.00000000,4.53535130
1776.00000000,0.00000000,3.76996503
1776.00000000,1.00000000,6.44118634
1776.00000000,2.00000000,5.87965615
1776.00000000,-1.00000000,4.97741974
1777.00000000,0.00000000,4.07199385
1777.00000000,1.00000000,6.97857351
1777.00000000,2.00000000,6.31918482
1777.00000000,-1.00000000,5.42381677
1778.00000000,0.00000000,4.37364991
1778.00000000,1.00000000,7.51912154
1778.00000000,2.00000000,6.75550473
