"time", "pool", "value"
1765.00000000,0.00000000,48035.28395062
1765.00000000,1.00000000,67179.72839506
1765.00000000,2.00000000,34568.39506173
1765.00000000,-1.00000000,57389.84659837
1766.00000000,0.00000000,48035.16679382
1766.00000000,1.00000000,67179.72675619
1766.00000000,2.00000000,34568.39234372
1766.00000000,-1.00000000,57389.80999547
1767.00000000,0.00000000,48035.19793065
1767.00000000,1.00000000,67179.72278536
1767.00000000,2.00000000,34568.40029669
1767.00000000,-1.00000000,57389.77351873
1768.00000000,0.00000000,48035.34250757
1768.00000000,1.00000000,67179.71811243
1768.00000000,2.00000000,34568.43717696
1768.00000000,-1.00000000,57389.73715265
1769.00000000,0.00000000,48035.57394927
1769.00000000,1.00000000,67179.71359053
1769.00000000,2.00000000,34568.51552848
1769.00000000,-1.00000000,57389.70075308
1770.00000000,0.00000000,48035.86906419
1770.00000000,1.00000000,67179.70991507
1770.00000000,2.00000000,34568.64365477
1770.00000000,-1.00000000,57389.66371862
1771.00000000,0.00000000,48036.18749853
1771.00000000,1.00000000,67179.70683758
1771.00000000,2.00000000,34568.82596505
1771.00000000,-1.00000000,57389.62066407
1772.00000000,0.00000000,48036.51877165
1772.00000000,1.00000000,67179.70364694
1772.00000000,2.00000000,34569.06345732
1772.00000000,-1.00000000,57389.57031594
1773.00000000,0.00000000,48036.88980334
1773.00000000,1.00000000,67179.70005693
1773.00000000,2.00000000,34569.35772325
1773.00000000,-1.00000000,57389.51866200
1774.00000000,0.00000000,48037.29147399
1774.00000000,1.00000000,67179.69594930
1774.00000000,2.00000000,34569.71004075
1774.00000000,-1.00000000,57389.46535512
1775.00000000,0.00000000,48037.71703882
1775.00000000,1.00000000,67179.69104758
1775.00000000,2.00000000,34570.12055654
1775.00000000,-1.00000000,57389.40998330
1776.00000000,0.00000000,48038.16144207
1776.00000000,1.00000000,67179.68500889
1776.00000000,2.00000000,34570.58863413
1776.00000000,-1.00000000,57389.35212861
1777.00000000,0.00000000,48038.62079100
1777.00000000,1.00000000,67179.67744086
1777.00000000,2.00000000,34571.11310496
1777.00000000,-1.00000000,57389.29136642
1778.00000000,0.00000000,48039.09206236
1778.00000000,1.00000000,67179.66787380
1778.00000000,2.00000000,34571.69230264
1778.00000000,-1.00000000,57389.22724955
1779.00000000,0.00000000,48039.57303102
1779.00000000,1.00000000,67179.65591733
1779.00000000,2.00000000,34572.32462166
1779.00000000,-1.00000000,57389.15939835
1780.00000000,0.00000000,48040.06082826
1780.00000000,1.00000000,67179.64108102
1780.00000000,2.00000000,34573.00808329
1780.00000000,-1.00000000,57389.08721100
1781.00000000,0.00000000,48040.52474310
1781.00000000,1.00000000,67179.62265105
1781.00000000,2.00000000,34573.73988944
1781.00000000,-1.00000000,57389.00462485
1782.00000000,0.00000000,48040.96878960
1782.00000000,1.00000000,67179.59932573
1782.00000000,2.00000000,34574.51559139
1782.00000000,-1.00000000,57388.91087737
1783.00000000,0.00000000,48041.42665451
1783.00000000,1.00000000,67179.57064988
1783.00000000,2.00000000,34575.33343655
1783.00000000,-1.00000000,57388.81193155
1784.00000000,0.00000000,48041.89449235
1784.00000000,1.00000000,67179.53634101
1784.00000000,2.00000000,34576.19235292
1784.00000000,-1.00000000,57388.70737083
1785.00000000,0.00000000,48042.36963885
1785.00000000,1.00000000,67179.49612905
1785.00000000,2.00000000,34577.09097706
1785.00000000,-1.00000000,57388.59685191
1786.00000000,0.00000000,48042.85013390
1786.00000000,1.00000000,67179.44969249
1786.00000000,2.00000000,34578.02777190
1786.00000000,-1.00000000,57388.48002905
1787.00000000,0.00000000,48043.33462904
1787.00000000,1.00000000,67179.39668550
1787.00000000,2.00000000,34579.00117487
1787.00000000,-1.00000000,57388.35657666
1788.00000000,0.00000000,48043.82194839
1788.00000000,1.00000000,67179.33679347
1788.00000000,2.00000000,34580.00960424
1788.00000000,-1.00000000,57388.22618608
1789.00000000,0.00000000,48044.31110262
1789.00000000,1.00000000,67179.26968107
1789.00000000,2.00000000,34581.05136980
1789.00000000,-1.00000000,57388.08854172
1790.00000000,0.00000000,48044.79966716
1790.00000000,1.00000000,67179.19494707
1790.00000000,2.00000000,34582.12443466
1790.00000000,-1.00000000,57387.94302505
1791.00000000,0.00000000,48045.25765710
1791.00000000,1.00000000,67179.11212407
1791.00000000,2.00000000,34583.22650703
1791.00000000,-1.00000000,57387.78373666
1792.00000000,0.00000000,48045.69077399
1792.00000000,1.00000000,67179.01998382
1792.00000000,2.00000000,34584.35352139
1792.00000000,-1.00000000,57387.61011317
1793.00000000,0.00000000,48046.13264007
1793.00000000,1.00000000,67178.91822860
1793.00000000,2.00000000,34585.50433344
1793.00000000,-1.00000000,57387.42817490
1794.00000000,0.00000000,48046.57956864
1794.00000000,1.00000000,67178.80679164
1794.00000000,2.00000000,34586.67841524
1794.00000000,-1.00000000,57387.23760006
1795.00000000,0.00000000,48047.02923414
1795.00000000,1.00000000,67178.68549928
1795.00000000,2.00000000,34587.87492810
1795.00000000,-1.00000000,57387.03812638
1796.00000000,0.00000000,48047.48007683
1796.00000000,1.00000000,67178.55416545
1796.00000000,2.00000000,34589.09299866
1796.00000000,-1.00000000,57386.82950201
1797.00000000,0.00000000,48047.89910223
1797.00000000,1.00000000,67178.41237450
1797.00000000,2.00000000,34590.33069382
1797.00000000,-1.00000000,57386.60543085
1798.00000000,0.00000000,48048.29265234
1798.00000000,1.00000000,67178.25902766
1798.00000000,2.00000000,34591.58440889
1798.00000000,-1.00000000,57386.36557000
1799.00000000,0.00000000,48048.69391209
1799.00000000,1.00000000,67178.09396098
1799.00000000,2.00000000,34592.85349288
1799.00000000,-1.00000000,57386.11597793
1800.00000000,0.00000000,48049.06758925
1800.00000000,1.00000000,67177.91693459
1800.00000000,2.00000000,34594.13699976
1800.00000000,-1.00000000,57385.85031927
1801.00000000,0.00000000,48049.41885940
1801.00000000,1.00000000,67177.72699841
1801.00000000,2.00000000,34595.43208424
1801.00000000,-1.00000000,57385.56836037
1802.00000000,0.00000000,48049.71637715
1802.00000000,1.00000000,67177.52364324
1802.00000000,2.00000000,34596.73701626
1802.00000000,-1.00000000,57385.26394468
1803.00000000,0.00000000,48050.00372927
1803.00000000,1.00000000,67177.30540811
1803.00000000,2.00000000,34598.04805155
1803.00000000,-1.00000000,57384.94307675
1804.00000000,0.00000000,48050.33601859
1804.00000000,1.00000000,67177.07318965
1804.00000000,2.00000000,34599.36827838
1804.00000000,-1.00000000,57384.61762765
1805.00000000,0.00000000,48050.67174169
1805.00000000,1.00000000,67176.82730600
1805.00000000,2.00000000,34600.69882286
1805.00000000,-1.00000000,57384.28116605
1806.00000000,0.00000000,48050.97994861
1806.00000000,1.00000000,67176.56753005
1806.00000000,2.00000000,34602.03869112
1806.00000000,-1.00000000,57383.92795085
1807.00000000,0.00000000,48051.26526015
1807.00000000,1.00000000,67176.29306551
1807.00000000,2.00000000,34603.38530324
1807.00000000,-1.00000000,57383.55773589
1808.00000000,0.00000000,48051.55822490
1808.00000000,1.00000000,67176.00385865
1808.00000000,2.00000000,34604.73840213
1808.00000000,-1.00000000,57383.17618486
1809.00000000,0.00000000,48051.85583453
1809.00000000,1.00000000,67175.70003840
1809.00000000,2.00000000,34606.09828750
1809.00000000,-1.00000000,57382.78327345
1810.00000000,0.00000000,48052.15510603
1810.00000000,1.00000000,67175.38168427
1810.00000000,2.00000000,34607.46492125
1810.00000000,-1.00000000,57382.37879822
1811.00000000,0.00000000,48052.42270377
1811.00000000,1.00000000,67175.04861149
1811.00000000,2.00000000,34608.83723960
1811.00000000,-1.00000000,57381.95657510
1812.00000000,0.00000000,48052.66478744
1812.00000000,1.00000000,67174.69995867
1812.00000000,2.00000000,34610.21242786
1812.00000000,-1.00000000,57381.51647471
1813.00000000,0.00000000,48052.91318085
1813.00000000,1.00000000,67174.33571471
1813.00000000,2.00000000,34611.59031949
1813.00000000,-1.00000000,57381.06441152
1814.00000000,0.00000000,48053.16444258
1814.00000000,1.00000000,67173.95603002
1814.00000000,2.00000000,34612.97125825
1814.00000000,-1.00000000,57380.60025788
1815.00000000,0.00000000,48053.38439222
1815.00000000,1.00000000,67173.56077926
1815.00000000,2.00000000,34614.35448504
1815.00000000,-1.00000000,57380.11778711
1816.00000000,0.00000000,48053.54749763
1816.00000000,1.00000000,67173.14892401
1816.00000000,2.00000000,34615.73665589
1816.00000000,-1.00000000,57379.61084458
1817.00000000,0.00000000,48053.66246816
1817.00000000,1.00000000,67172.71941969
1817.00000000,2.00000000,34617.11470723
1817.00000000,-1.00000000,57379.07948796
1818.00000000,0.00000000,48053.76486659
1818.00000000,1.00000000,67172.27164465
1818.00000000,2.00000000,34618.48735489
1818.00000000,-1.00000000,57378.52949219
1819.00000000,0.00000000,48053.88364072
1819.00000000,1.00000000,67171.80587971
1819.00000000,2.00000000,34619.85611647
1819.00000000,-1.00000000,57377.96699611
1820.00000000,0.00000000,48054.01278449
1820.00000000,1.00000000,67171.32252580
1820.00000000,2.00000000,34621.22260046
1820.00000000,-1.00000000,57377.39195998
1821.00000000,0.00000000,48054.14738471
1821.00000000,1.00000000,67170.82188279
1821.00000000,2.00000000,34622.58777327
1821.00000000,-1.00000000,57376.80419467
1822.00000000,0.00000000,48054.25288094
1822.00000000,1.00000000,67170.30393291
1822.00000000,2.00000000,34623.95129102
1822.00000000,-1.00000000,57376.19753668
1823.00000000,0.00000000,48054.30459772
1823.00000000,1.00000000,67169.76776385
1823.00000000,2.00000000,34625.31022363
1823.00000000,-1.00000000,57375.56613123
1824.00000000,0.00000000,48054.33879387
1824.00000000,1.00000000,67169.21270995
1824.00000000,2.00000000,34626.66268581
1824.00000000,-1.00000000,57374.91556342
1825.00000000,0.00000000,48054.35421193
1825.00000000,1.00000000,67168.63875370
1825.00000000,2.00000000,34628.00887258
1825.00000000,-1.00000000,57374.24584864
1826.00000000,0.00000000,48054.35405950
1826.00000000,1.00000000,67168.04546443
1826.00000000,2.00000000,34629.34790299
1826.00000000,-1.00000000,57373.55717061
1827.00000000,0.00000000,48054.33617604
1827.00000000,1.00000000,67167.43290658
1827.00000000,2.00000000,34630.68014877
1827.00000000,-1.00000000,57372.84945186
1828.00000000,0.00000000,48054.30150848
1828.00000000,1.00000000,67166.80064238
1828.00000000,2.00000000,34632.00470183
1828.00000000,-1.00000000,57372.12243656
1829.00000000,0.00000000,48054.27993299
1829.00000000,1.00000000,67166.14883233
1829.00000000,2.00000000,34633.32267501
