"time", "value"
1765.00000000,104.44444444
1766.00000000,104.44443498
1767.00000000,104.44445101
1768.00000000,104.44454271
1769.00000000,104.44474445
1770.00000000,104.44507888
1771.00000000,104.44555776
1772.00000000,104.44618324
1773.00000000,104.44695980
1774.00000000,104.44789124
1775.00000000,104.44897819
1776.00000000,104.45021907
1777.00000000,104.45161083
1778.00000000,104.45314904
1779.00000000,104.45482942
1780.00000000,104.45664667
1781.00000000,104.45859307
1782.00000000,104.46065600
1783.00000000,104.46283107
1784.00000000,104.46511583
1785.00000000,104.46750692
1786.00000000,104.47000042
1787.00000000,104.47259226
1788.00000000,104.47527832
1789.00000000,104.47805414
1790.00000000,104.48091433
1791.00000000,104.48385254
1792.00000000,104.48685719
1793.00000000,104.48992559
1794.00000000,104.49305673
1795.00000000,104.49624869
1796.00000000,104.49949933
1797.00000000,104.50280340
1798.00000000,104.50615058
1799.00000000,104.50953952
1800.00000000,104.51296791
1801.00000000,104.51642770
1802.00000000,104.51991427
1803.00000000,104.52341694
1804.00000000,104.52694562
1805.00000000,104.53050410
1806.00000000,104.53408971
1807.00000000,104.53769506
1808.00000000,104.54131981
1809.00000000,104.54496521
1810.00000000,104.54863146
1811.00000000,104.55231565
1812.00000000,104.55600963
1813.00000000,104.55971330
1814.00000000,104.56342801
1815.00000000,104.56715176
1816.00000000,104.57087480
1817.00000000,104.57458835
1818.00000000,104.57828901
1819.00000000,104.58198180
1820.00000000,104.58567187
1821.00000000,104.58936235
1822.00000000,104.59305239
1823.00000000,104.59673340
1824.00000000,104.60040001
1825.00000000,104.60405314
1826.00000000,104.60769046
1827.00000000,104.61131337
1828.00000000,104.61491940
1829.00000000,104.61851221
1830.00000000,104.62208247
1831.00000000,104.62559220
1832.00000000,104.62905929
1833.00000000,104.63249890
1834.00000000,104.63591359
1835.00000000,104.63930884
1836.00000000,104.64267522
1837.00000000,104.64599013
1838.00000000,104.64926249
1839.00000000,104.65249871
1840.00000000,104.65569856
1841.00000000,104.65885762
1842.00000000,104.66197631
1843.00000000,104.66505180
1844.00000000,104.66808547
1845.00000000,104.67106897
1846.00000000,104.67398800
1847.00000000,104.67685579
1848.00000000,104.67966947
1849.00000000,104.68243369
1850.00000000,104.68513763
1851.00000000,104.68774864
1852.00000000,104.69029498
1853.00000000,104.69307171
1854.00000000,104.69599186
1855.00000000,104.69886009
1856.00000000,104.70159530
1857.00000000,104.70419216
1858.00000000,104.70668715
1859.00000000,104.70910284
1860.00000000,104.71141463
1861.00000000,104.71359233
1862.00000000,104.71555926
1863.00000000,104.71694371
1864.00000000,104.71772968
1865.00000000,104.71798950
1866.00000000,104.71780016
1867.00000000,104.71723688
1868.00000000,104.71631941
1869.00000000,104.71507554
1870.00000000,104.71352456
1871.00000000,104.71172623
1872.00000000,104.70993085
1873.00000000,104.70858580
1874.00000000,104.70769462
1875.00000000,104.70724843
1876.00000000,104.70709213
1877.00000000,104.70715847
1878.00000000,104.70741936
1879.00000000,104.70783619
1880.00000000,104.70825198
1881.00000000,104.70852301
1882.00000000,104.70869194
1883.00000000,104.70839727
1884.00000000,104.70760496
1885.00000000,104.70647606
1886.00000000,104.70514545
1887.00000000,104.70365536
1888.00000000,104.70188902
1889.00000000,104.69967313
1890.00000000,104.69705909
1891.00000000,104.69394101
1892.00000000,104.69036890
1893.00000000,104.68661329
1894.00000000,104.68286796
1895.00000000,104.67917391
1896.00000000,104.67540810
1897.00000000,104.67150568
1898.00000000,104.66737289
1899.00000000,104.66285676
1900.00000000,104.65774652
1901.00000000,104.65211661
1902.00000000,104.64638425
1903.00000000,104.64058871
1904.00000000,104.63464805
1905.00000000,104.62875819
1906.00000000,104.62287268
1907.00000000,104.61679501
1908.00000000,104.61025137
1909.00000000,104.60372628
1910.00000000,104.59716955
1911.00000000,104.59036690
1912.00000000,104.58294873
1913.00000000,104.57445581
1914.00000000,104.56481542
1915.00000000,104.55516777
1916.00000000,104.54577193
1917.00000000,104.53613682
1918.00000000,104.52606580
1919.00000000,104.51630043
1920.00000000,104.50779416
1921.00000000,104.49989792
1922.00000000,104.49352942
1923.00000000,104.48794105
1924.00000000,104.48195711
1925.00000000,104.47568599
1926.00000000,104.46928581
1927.00000000,104.46277435
1928.00000000,104.45593637
1929.00000000,104.44882551
1930.00000000,104.44157236
1931.00000000,104.43581039
1932.00000000,104.43249685
1933.00000000,104.43115953
1934.00000000,104.43060254
1935.00000000,104.42963658
1936.00000000,104.42758633
1937.00000000,104.42375421
1938.00000000,104.41801181
1939.00000000,104.41137758
1940.00000000,104.40372854
1941.00000000,104.39441046
1942.00000000,104.38358224
1943.00000000,104.37182648
1944.00000000,104.35931125
1945.00000000,104.34704976
1946.00000000,104.33699922
1947.00000000,104.32862001
1948.00000000,104.32032636
1949.00000000,104.31161595
1950.00000000,104.30273006
1951.00000000,104.29250172
1952.00000000,104.28150540
1953.00000000,104.27023531
1954.00000000,104.25879072
1955.00000000,104.24733182
1956.00000000,104.23492769
1957.00000000,104.22119330
1958.00000000,104.20629357
1959.00000000,104.19034062
1960.00000000,104.17206645
1961.00000000,104.15143377
1962.00000000,104.12955535
1963.00000000,104.10630478
1964.00000000,104.08112936
1965.00000000,104.05361400
1966.00000000,104.02371432
1967.00000000,103.99151099
1968.00000000,103.95708410
1969.00000000,103.91962350
1970.00000000,103.87835157
1971.00000000,103.83217714
1972.00000000,103.78083607
1973.00000000,103.72476760
1974.00000000,103.66455672
1975.00000000,103.60257031
1976.00000000,103.54054899
1977.00000000,103.47797225
1978.00000000,103.41483954
1979.00000000,103.35132305
1980.00000000,103.28659976
1981.00000000,103.22264069
1982.00000000,103.16250901
1983.00000000,103.10806579
1984.00000000,103.05910116
1985.00000000,103.01364381
1986.00000000,102.97001562
1987.00000000,102.92700642
1988.00000000,102.88380065
1989.00000000,102.83962598
1990.00000000,102.79459468
1991.00000000,102.74943658
1992.00000000,102.70508828
1993.00000000,102.66276651
1994.00000000,102.62263824
1995.00000000,102.58373095
1996.00000000,102.54500694
1997.00000000,102.50566249
1998.00000000,102.46565506
1999.00000000,102.42619100
2000.00000000,102.38766632
2001.00000000,102.34886406
