"time", "value"
1765.00000000,34.41105981
1766.00000000,34.41111429
1767.00000000,34.41107229
1768.00000000,34.41118734
1769.00000000,34.41138317
1770.00000000,34.41172698
1771.00000000,34.41212601
1772.00000000,34.41264579
1773.00000000,34.41338931
1774.00000000,34.41420743
1775.00000000,34.41522442
1776.00000000,34.41627252
1777.00000000,34.41757807
1778.00000000,34.41895298
1779.00000000,34.42042646
1780.00000000,34.42211600
1781.00000000,34.42387306
1782.00000000,34.42575850
1783.00000000,34.42771420
1784.00000000,34.42981240
1785.00000000,34.43199389
1786.00000000,34.43425956
1787.00000000,34.43665198
1788.00000000,34.43911704
1789.00000000,34.44164593
1790.00000000,34.44427916
1791.00000000,34.44696554
1792.00000000,34.44974046
1793.00000000,34.45256745
1794.00000000,34.45547459
1795.00000000,34.45843909
1796.00000000,34.46140053
1797.00000000,34.46448924
1798.00000000,34.46759703
1799.00000000,34.47073603
1800.00000000,34.47390600
1801.00000000,34.47714201
1802.00000000,34.48046926
1803.00000000,34.48381588
1804.00000000,34.48719112
1805.00000000,34.49059830
1806.00000000,34.49403040
1807.00000000,34.49749490
1808.00000000,34.50098677
1809.00000000,34.50450131
1810.00000000,34.50804085
1811.00000000,34.51160638
1812.00000000,34.51517581
1813.00000000,34.51876142
1814.00000000,34.52236926
1815.00000000,34.52597786
1816.00000000,34.52961306
1817.00000000,34.53325938
1818.00000000,34.53690516
1819.00000000,34.54054804
1820.00000000,34.49419546
1821.00000000,34.49786001
1822.00000000,34.50151727
1823.00000000,34.50517180
1824.00000000,34.50883462
1825.00000000,34.51248039
1826.00000000,34.51612829
1827.00000000,34.51978475
1828.00000000,34.52344734
1829.00000000,34.52709722
1830.00000000,34.53074592
1831.00000000,34.53433146
1832.00000000,34.53789640
1833.00000000,34.54146090
1834.00000000,34.54499984
1835.00000000,34.54854586
1836.00000000,34.55209065
1837.00000000,34.55560053
1838.00000000,34.55911371
1839.00000000,34.56259201
1840.00000000,34.56603745
1841.00000000,34.56944587
1842.00000000,34.57284150
1843.00000000,34.57620919
1844.00000000,34.57954970
1845.00000000,34.58284188
1846.00000000,34.58607604
1847.00000000,34.58928760
1848.00000000,34.59246316
1849.00000000,34.59560031
1850.00000000,34.59867583
1851.00000000,34.60171181
1852.00000000,34.60470488
1853.00000000,34.60791376
