"time", "value"
1765.00000000,       nan
1766.00000000,34.42070591
1767.00000000,34.42175337
1768.00000000,34.42290807
1769.00000000,34.42417575
1770.00000000,34.42554535
1771.00000000,34.42776858
1772.00000000,34.42933426
1773.00000000,34.43099035
1774.00000000,34.43273511
1775.00000000,34.43456309
1776.00000000,34.43647547
1777.00000000,34.43846115
1778.00000000,34.44052812
1779.00000000,34.44266347
1780.00000000,34.44487244
1781.00000000,34.44790684
1782.00000000,34.45024785
1783.00000000,34.45265606
1784.00000000,34.45512046
1785.00000000,34.45764362
1786.00000000,34.46022119
1787.00000000,34.46285326
1788.00000000,34.46553800
1789.00000000,34.46827384
1790.00000000,34.47105991
1791.00000000,34.47464803
1792.00000000,34.47753233
1793.00000000,34.48045492
1794.00000000,34.48342529
1795.00000000,34.48643293
1796.00000000,34.48948468
1797.00000000,34.49333384
1798.00000000,34.49646689
1799.00000000,34.49963849
1800.00000000,34.50360030
1801.00000000,34.50684895
1802.00000000,34.51163276
1803.00000000,34.51419113
1804.00000000,34.51753505
1805.00000000,34.52090696
1806.00000000,34.52506623
1807.00000000,34.52849649
1808.00000000,34.53196049
1809.00000000,34.53545073
1810.00000000,34.53896832
1811.00000000,34.54327508
1812.00000000,34.54685481
1813.00000000,34.55046543
1814.00000000,34.55410561
1815.00000000,34.55853251
1816.00000000,34.56299074
1817.00000000,34.56747941
1818.00000000,34.57124030
1819.00000000,34.57502769
1820.00000000,34.57884563
1821.00000000,34.58268900
1822.00000000,34.58732419
1823.00000000,34.59199155
1824.00000000,34.59594117
1825.00000000,34.60067908
1826.00000000,34.60470784
1827.00000000,34.60952572
1828.00000000,34.61363673
1829.00000000,34.61779981
1830.00000000,34.62653718
1831.00000000,34.63005203
1832.00000000,34.63436004
1833.00000000,34.63947629
1834.00000000,34.64388842
1835.00000000,34.64910898
1836.00000000,34.65665175
1837.00000000,34.66123302
1838.00000000,34.66662429
1839.00000000,34.67206726
1840.00000000,34.67832833
1841.00000000,34.68389307
1842.00000000,34.69027852
1843.00000000,34.69597039
1844.00000000,34.70249317
1845.00000000,34.71059976
1846.00000000,34.71576046
1847.00000000,34.72327473
1848.00000000,34.72936672
1849.00000000,34.73706543
1850.00000000,34.74562751
1851.00000000,34.75130033
1852.00000000,34.75937322
1853.00000000,34.76678118
1854.00000000,34.78025899
1855.00000000,34.78774091
1856.00000000,34.79752546
1857.00000000,34.80434501
1858.00000000,34.81122244
1859.00000000,34.82116488
1860.00000000,34.83341016
1861.00000000,34.84265771
1862.00000000,34.85040788
1863.00000000,34.86201305
1864.00000000,34.87457617
1865.00000000,34.88660617
1866.00000000,34.89587107
1867.00000000,34.90934461
1868.00000000,34.92072111
1869.00000000,34.93397055
1870.00000000,34.94612949
1871.00000000,34.96178817
1872.00000000,34.98396441
1873.00000000,35.00196937
1874.00000000,35.00435765
1875.00000000,35.02506533
1876.00000000,35.03770353
1877.00000000,35.05058798
1878.00000000,35.06257312
1879.00000000,35.08429854
1880.00000000,35.11537520
1881.00000000,35.13237053
1882.00000000,35.15409057
1883.00000000,35.17830220
1884.00000000,35.19297773
1885.00000000,35.20718885
1886.00000000,35.22322147
1887.00000000,35.24715204
1888.00000000,35.28502456
1889.00000000,35.29912375
1890.00000000,35.33547456
1891.00000000,35.36241431
1892.00000000,35.37918252
1893.00000000,35.39184569
1894.00000000,35.41781753
1895.00000000,35.45184468
1896.00000000,35.47885779
1897.00000000,35.51244986
1898.00000000,35.54962529
1899.00000000,35.60018872
1900.00000000,35.64003436
1901.00000000,35.67366796
1902.00000000,35.70482769
1903.00000000,35.76434039
1904.00000000,35.79122359
1905.00000000,35.84259694
1906.00000000,35.89806977
1907.00000000,35.97849745
1908.00000000,35.97567894
1909.00000000,36.02460032
1910.00000000,36.07271899
1911.00000000,36.10794634
1912.00000000,36.16251441
1913.00000000,36.23264297
1914.00000000,36.18506992
1915.00000000,36.19814075
1916.00000000,36.26768786
1917.00000000,36.33069255
1918.00000000,36.33914118
1919.00000000,36.26441087
1920.00000000,36.38215416
1921.00000000,36.30897822
1922.00000000,36.36483453
1923.00000000,36.48375698
1924.00000000,36.50431147
1925.00000000,36.53972930
1926.00000000,36.57282542
1927.00000000,36.65990569
1928.00000000,36.69060423
1929.00000000,36.77946938
1930.00000000,36.73965757
1931.00000000,36.68396880
1932.00000000,36.64354901
1933.00000000,36.70912143
1934.00000000,36.80191330
1935.00000000,36.87676133
1936.00000000,36.99025134
1937.00000000,37.08722844
1938.00000000,37.07578737
1939.00000000,37.15424105
1940.00000000,37.27753408
1941.00000000,37.34843561
1942.00000000,37.40083019
1943.00000000,37.48605887
1944.00000000,37.53024897
1945.00000000,37.41354149
1946.00000000,37.52774966
1947.00000000,37.70273516
1948.00000000,37.82229529
1949.00000000,37.84861684
1950.00000000,38.07592606
1951.00000000,38.25102123
1952.00000000,38.34592286
1953.00000000,38.45619809
1954.00000000,38.55333875
1955.00000000,38.76933930
1956.00000000,38.95546675
1957.00000000,39.11164500
1958.00000000,39.24601087
1959.00000000,39.43630737
1960.00000000,39.61601122
1961.00000000,39.72512780
1962.00000000,39.90304388
1963.00000000,40.11469088
1964.00000000,40.33765708
1965.00000000,40.54606537
1966.00000000,40.77379124
1967.00000000,40.96433471
1968.00000000,41.20919279
1969.00000000,41.48173161
1970.00000000,41.80234322
1971.00000000,42.03756503
1972.00000000,42.28419774
1973.00000000,42.58125128
1974.00000000,42.71918893
1975.00000000,42.83262811
1976.00000000,43.15938341
1977.00000000,43.40105904
1978.00000000,43.59378823
1979.00000000,43.93085624
1980.00000000,44.03786603
1981.00000000,44.07149851
1982.00000000,44.19273734
1983.00000000,44.33388586
1984.00000000,44.61557795
1985.00000000,44.88269339
1986.00000000,45.16147539
1987.00000000,45.47762558
1988.00000000,45.79344690
1989.00000000,46.05311753
1990.00000000,46.26768752
1991.00000000,46.50948904
1992.00000000,46.61199296
1993.00000000,46.80148218
1994.00000000,47.07135142
1995.00000000,47.35328752
1996.00000000,47.64461307
1997.00000000,47.92022976
1998.00000000,48.10508674
1999.00000000,48.30280952
2000.00000000,48.63190524
2001.00000000,48.96334172
2002.00000000,49.22818319
2003.00000000,49.69078831
2004.00000000,50.19066723
2005.00000000,50.63728404
2006.00000000,51.01746661
2007.00000000,51.41022436
2008.00000000,51.81090715
2009.00000000,52.21615115
2010.00000000,52.57603962
2011.00000000,53.03598133
2012.00000000,53.49991758
2013.00000000,53.96779761
2014.00000000,54.43951948
2015.00000000,54.90000000
2016.00000000,55.41845182
2017.00000000,55.90029836
2018.00000000,56.38706811
2019.00000000,56.87859228
2020.00000000,57.37464821
2021.00000000,57.85702286
2022.00000000,58.34389569
2023.00000000,58.83515805
2024.00000000,59.33073399
2025.00000000,59.83053798
2026.00000000,60.33448020
2027.00000000,60.84250705
2028.00000000,61.35457936
2029.00000000,61.87065852
2030.00000000,62.39076643
2031.00000000,62.94912084
2032.00000000,63.51065674
2033.00000000,64.07522213
2034.00000000,64.64262236
2035.00000000,65.21267013
2036.00000000,65.78524615
2037.00000000,66.36015230
2038.00000000,66.93725421
2039.00000000,67.51640008
2040.00000000,68.09744198
2041.00000000,68.70219002
2042.00000000,69.30795159
2043.00000000,69.91450870
2044.00000000,70.52170254
2045.00000000,71.12932738
2046.00000000,71.73719234
2047.00000000,72.34514990
2048.00000000,72.95300638
2049.00000000,73.56062814
2050.00000000,74.16783070
2051.00000000,74.77339087
2052.00000000,75.37828008
2053.00000000,75.98233304
2054.00000000,76.58538506
2055.00000000,77.18732338
2056.00000000,77.78798957
2057.00000000,78.38717620
2058.00000000,78.98216283
2059.00000000,79.57382666
2060.00000000,80.16371287
2061.00000000,80.71687655
