"time", "pool", "value"
1765.00000000,0.00000000,80.06850052
1765.00000000,1.00000000,138.65193940
1765.00000000,2.00000000,34.38804436
1765.00000000,-1.00000000,111.05400467
1766.00000000,0.00000000,80.06904351
1766.00000000,1.00000000,138.65163653
1766.00000000,2.00000000,34.38809357
1766.00000000,-1.00000000,111.05389372
1767.00000000,0.00000000,80.07039210
1767.00000000,1.00000000,138.65110613
1767.00000000,2.00000000,34.38833145
1767.00000000,-1.00000000,111.05374746
1768.00000000,0.00000000,80.07174069
1768.00000000,1.00000000,138.65057574
1768.00000000,2.00000000,34.38856934
1768.00000000,-1.00000000,111.05359043
1769.00000000,0.00000000,80.07308928
1769.00000000,1.00000000,138.65004534
1769.00000000,2.00000000,34.38880722
1769.00000000,-1.00000000,111.05343339
1770.00000000,0.00000000,80.07443786
1770.00000000,1.00000000,138.64951494
1770.00000000,2.00000000,34.38945774
1770.00000000,-1.00000000,111.05327636
1771.00000000,0.00000000,80.07578645
1771.00000000,1.00000000,138.64898455
1771.00000000,2.00000000,34.39012922
1771.00000000,-1.00000000,111.05311932
1772.00000000,0.00000000,80.07713504
1772.00000000,1.00000000,138.64845415
1772.00000000,2.00000000,34.39080071
1772.00000000,-1.00000000,111.05283655
1773.00000000,0.00000000,80.07848363
1773.00000000,1.00000000,138.64792375
1773.00000000,2.00000000,34.39351630
1773.00000000,-1.00000000,111.05267164
1774.00000000,0.00000000,80.07983221
1774.00000000,1.00000000,138.64739336
1774.00000000,2.00000000,34.39728352
1774.00000000,-1.00000000,111.05249803
1775.00000000,0.00000000,80.08118080
1775.00000000,1.00000000,138.64686296
1775.00000000,2.00000000,34.40105073
1775.00000000,-1.00000000,111.05231573
1776.00000000,0.00000000,80.08252939
1776.00000000,1.00000000,138.64633256
1776.00000000,2.00000000,34.40481795
1776.00000000,-1.00000000,111.05212473
1777.00000000,0.00000000,80.08387798
1777.00000000,1.00000000,138.64580217
1777.00000000,2.00000000,34.40858516
1777.00000000,-1.00000000,111.05192499
1778.00000000,0.00000000,80.08522656
1778.00000000,1.00000000,138.64527177
1778.00000000,2.00000000,34.41235237
1778.00000000,-1.00000000,111.05169311
1779.00000000,0.00000000,80.08657515
1779.00000000,1.00000000,138.64474137
1779.00000000,2.00000000,34.41611959
1779.00000000,-1.00000000,111.05140932
1780.00000000,0.00000000,80.08792374
1780.00000000,1.00000000,138.64421098
1780.00000000,2.00000000,34.41988680
1780.00000000,-1.00000000,111.05107362
1781.00000000,0.00000000,80.08905854
1781.00000000,1.00000000,138.64368058
1781.00000000,2.00000000,34.42365402
1781.00000000,-1.00000000,111.05068602
1782.00000000,0.00000000,80.09005785
1782.00000000,1.00000000,138.64315018
1782.00000000,2.00000000,34.42742123
1782.00000000,-1.00000000,111.05024651
1783.00000000,0.00000000,80.09105716
1783.00000000,1.00000000,138.64261979
1783.00000000,2.00000000,34.43118845
1783.00000000,-1.00000000,111.04975509
1784.00000000,0.00000000,80.09205646
