"time", "pool", "value"
1765.00000000,0.00000000,       nan
1765.00000000,1.00000000,       nan
1765.00000000,2.00000000,       nan
1765.00000000,-1.00000000,       nan
1766.00000000,0.00000000,0.47249429
1766.00000000,1.00000000,0.69873970
1766.00000000,2.00000000,0.69409919
1766.00000000,-1.00000000,0.49963751
1767.00000000,0.00000000,0.88927910
1767.00000000,1.00000000,1.35573579
1767.00000000,2.00000000,1.36143537
1767.00000000,-1.00000000,0.99309588
1768.00000000,0.00000000,1.24542680
1768.00000000,1.00000000,1.99089646
1768.00000000,2.00000000,2.00466700
1768.00000000,-1.00000000,1.48292685
1769.00000000,0.00000000,1.53721840
1769.00000000,1.00000000,2.62605713
1769.00000000,2.00000000,2.62252233
1769.00000000,-1.00000000,1.96832147
1770.00000000,0.00000000,1.76465390
1770.00000000,1.00000000,3.23942046
1770.00000000,2.00000000,3.20568480
1770.00000000,-1.00000000,2.44166650
1771.00000000,0.00000000,1.92773330
1771.00000000,1.00000000,3.81370211
1771.00000000,2.00000000,3.73368785
1771.00000000,-1.00000000,2.76109591
1772.00000000,0.00000000,2.02645660
1772.00000000,1.00000000,4.32360114
1772.00000000,2.00000000,4.20580291
1772.00000000,-1.00000000,3.06497867
1773.00000000,0.00000000,2.17752890
1773.00000000,1.00000000,4.87086808
1773.00000000,2.00000000,4.62916506
1773.00000000,-1.00000000,3.41003261
1774.00000000,0.00000000,2.44435895
1774.00000000,1.00000000,5.38974342
1774.00000000,2.00000000,5.01107237
1774.00000000,-1.00000000,3.86081415
1775.00000000,0.00000000,2.68952042
1775.00000000,1.00000000,5.91186939
1775.00000000,2.00000000,5.35298743
1775.00000000,-1.00000000,4.25189879
1776.00000000,0.00000000,2.91606588
1776.00000000,1.00000000,6.44588496
1776.00000000,2.00000000,5.70016622
1776.00000000,-1.00000000,4.70280155
1777.00000000,0.00000000,3.14690138
1777.00000000,1.00000000,6.99179011
1777.00000000,2.00000000,6.07402010
1777.00000000,-1.00000000,5.16553449
1778.00000000,0.00000000,3.36079770
1778.00000000,1.00000000,7.54850476
1778.00000000,2.00000000,6.47454905
