"time", "pool", "value"
1765.00000000,0.00000000,0.00000000
1765.00000000,1.00000000,0.00000000
1765.00000000,2.00000000,0.00000000
1765.00000000,-1.00000000,0.00000000
1766.00000000,0.00000000,0.00300000
1766.00000000,1.00000000,0.00000000
1766.00000000,2.00000000,45.00000000
1766.00000000,-1.00000000,45.00300000
1767.00000000,0.00000000,0.00300000
1767.00000000,1.00000000,0.00000000
1767.00000000,2.00000000,45.00000000
1767.00000000,-1.00000000,45.00300000
1768.00000000,0.00000000,0.00300000
1768.00000000,1.00000000,0.00000000
1768.00000000,2.00000000,45.00000000
1768.00000000,-1.00000000,45.00300000
1769.00000000,0.00000000,0.00300000
1769.00000000,1.00000000,0.00000000
1769.00000000,2.00000000,45.00000000
1769.00000000,-1.00000000,45.00300000
1770.00000000,0.00000000,0.00300000
1770.00000000,1.00000000,0.00000000
1770.00000000,2.00000000,45.00000000
1770.00000000,-1.00000000,45.00300000
1771.00000000,0.00000000,0.00400000
1771.00000000,1.00000000,0.00000000
1771.00000000,2.00000000,45.00000000
1771.00000000,-1.00000000,45.00400000
1772.00000000,0.00000000,0.00400000
1772.00000000,1.00000000,0.00000000
1772.00000000,2.00000000,45.00000000
1772.00000000,-1.00000000,45.00400000
1773.00000000,0.00000000,0.00400000
1773.00000000,1.00000000,0.00000000
1773.00000000,2.00000000,45.00000000
1773.00000000,-1.00000000,45.00400000
1774.00000000,0.00000000,0.00400000
1774.00000000,1.00000000,0.00000000
1774.00000000,2.00000000,45.00000000
1774.00000000,-1.00000000,45.00400000
1775.00000000,0.00000000,0.00400000
1775.00000000,1.00000000,0.00000000
1775.00000000,2.00000000,45.00000000
1775.00000000,-1.00000000,45.00400000
1776.00000000,0.00000000,0.00400000
1776.00000000,1.00000000,0.00000000
1776.00000000,2.00000000,45.00000000
1776.00000000,-1.00000000,45.00400000
1777.00000000,0.00000000,0.00400000
1777.00000000,1.00000000,0.00000000
1777.00000000,2.00000000,45.00000000
1777.00000000,-1.00000000,45.00400000
1778.00000000,0.00000000,0.00400000
1778.00000000,1.00000000,0.00000000
1778.00000000,2.00000000,45.00000000
1778.00000000,-1.00000000,45.00400000
1779.00000000,0.00000000,0.00400000
1779.00000000,1.00000000,0.00000000
1779.00000000,2.00000000,45.00000000
1779.00000000,-1.00000000,45.00400000
1780.00000000,0.00000000,0.00400000
1780.00000000,1.00000000,0.00000000
1780.00000000,2.00000000,45.00000000
1780.00000000,-1.00000000,45.00400000
1781.00000000,0.00000000,0.00500000
1781.00000000,1.00000000,0.00000000
1781.00000000,2.00000000,45.00000000
1781.00000000,-1.00000000,45.00500000
1782.00000000,0.00000000,0.00500000
1782.00000000,1.00000000,0.00000000
1782.00000000,2.00000000,45.00000000
1782.00000000,-1.00000000,45.00500000
1783.00000000,0.00000000,0.00500000
1783.00000000,1.00000000,0.00000000
1783.00000000,2.00000000,45.00000000
1783.00000000,-1.00000000,45.00500000
1784.00000000,0.00000000,0.00500000
1784.00000000,1.00000000,0.00000000
1784.00000000,2.00000000,45.00000000
1784.00000000,-1.00000000,45.00500000
1785.00000000,0.00000000,0.00500000
1785.00000000,1.00000000,0.00000000
1785.00000000,2.00000000,45.00000000
1785.00000000,-1.00000000,45.00500000
1786.00000000,0.00000000,0.00500000
1786.00000000,1.00000000,0.00000000
1786.00000000,2.00000000,45.00000000
1786.00000000,-1.00000000,45.00500000
1787.00000000,0.00000000,0.00500000
1787.00000000,1.00000000,0.00000000
1787.00000000,2.00000000,45.00000000
1787.00000000,-1.00000000,45.00500000
1788.00000000,0.00000000,0.00500000
1788.00000000,1.00000000,0.00000000
1788.00000000,2.00000000,45.00000000
1788.00000000,-1.00000000,45.00500000
1789.00000000,0.00000000,0.00500000
1789.00000000,1.00000000,0.00000000
1789.00000000,2.00000000,45.00000000
1789.00000000,-1.00000000,45.00500000
1790.00000000,0.00000000,0.00500000
1790.00000000,1.00000000,0.00000000
1790.00000000,2.00000000,45.00000000
1790.00000000,-1.00000000,45.00500000
1791.00000000,0.00000000,0.00600000
1791.00000000,1.00000000,0.00000000
1791.00000000,2.00000000,45.00000000
1791.00000000,-1.00000000,45.00600000
1792.00000000,0.00000000,0.00600000
1792.00000000,1.00000000,0.00000000
1792.00000000,2.00000000,45.00000000
1792.00000000,-1.00000000,45.00600000
1793.00000000,0.00000000,0.00600000
1793.00000000,1.00000000,0.00000000
1793.00000000,2.00000000,45.00000000
1793.00000000,-1.00000000,45.00600000
1794.00000000,0.00000000,0.00600000
1794.00000000,1.00000000,0.00000000
1794.00000000,2.00000000,45.00000000
1794.00000000,-1.00000000,45.00600000
1795.00000000,0.00000000,0.00600000
1795.00000000,1.00000000,0.00000000
1795.00000000,2.00000000,45.00000000
1795.00000000,-1.00000000,45.00600000
1796.00000000,0.00000000,0.00600000
1796.00000000,1.00000000,0.00000000
1796.00000000,2.00000000,45.00000000
1796.00000000,-1.00000000,45.00600000
1797.00000000,0.00000000,0.00700000
1797.00000000,1.00000000,0.00000000
1797.00000000,2.00000000,45.00000000
1797.00000000,-1.00000000,45.00700000
1798.00000000,0.00000000,0.00700000
1798.00000000,1.00000000,0.00000000
1798.00000000,2.00000000,45.00000000
1798.00000000,-1.00000000,45.00700000
1799.00000000,0.00000000,0.00700000
1799.00000000,1.00000000,0.00000000
1799.00000000,2.00000000,45.00000000
1799.00000000,-1.00000000,45.00700000
1800.00000000,0.00000000,0.00800000
1800.00000000,1.00000000,0.00000000
1800.00000000,2.00000000,45.00000000
1800.00000000,-1.00000000,45.00800000
1801.00000000,0.00000000,0.00800000
1801.00000000,1.00000000,0.00000000
1801.00000000,2.00000000,45.00000000
1801.00000000,-1.00000000,45.00800000
1802.00000000,0.00000000,0.01000000
1802.00000000,1.00000000,0.00000000
1802.00000000,2.00000000,45.00000000
1802.00000000,-1.00000000,45.01000000
1803.00000000,0.00000000,0.00900000
1803.00000000,1.00000000,0.00000000
1803.00000000,2.00000000,45.00000000
1803.00000000,-1.00000000,45.00900000
1804.00000000,0.00000000,0.00900000
1804.00000000,1.00000000,0.00000000
1804.00000000,2.00000000,45.00000000
1804.00000000,-1.00000000,45.00900000
1805.00000000,0.00000000,0.00900000
1805.00000000,1.00000000,0.00000000
1805.00000000,2.00000000,45.00000000
1805.00000000,-1.00000000,45.00900000
1806.00000000,0.00000000,0.01000000
1806.00000000,1.00000000,0.00000000
1806.00000000,2.00000000,45.00000000
1806.00000000,-1.00000000,45.01000000
1807.00000000,0.00000000,0.01000000
1807.00000000,1.00000000,0.00000000
1807.00000000,2.00000000,45.00000000
1807.00000000,-1.00000000,45.01000000
1808.00000000,0.00000000,0.01000000
1808.00000000,1.00000000,0.00000000
1808.00000000,2.00000000,45.00000000
1808.00000000,-1.00000000,45.01000000
1809.00000000,0.00000000,0.01000000
1809.00000000,1.00000000,0.00000000
1809.00000000,2.00000000,45.00000000
1809.00000000,-1.00000000,45.01000000
1810.00000000,0.00000000,0.01000000
1810.00000000,1.00000000,0.00000000
